year,islamic_deposits_ia_Bn_AED,islamic_cash_ratio_t,cash_ratio_status,cash_source,method_class
2015,332,0.225697,OBSERVED_PRIMARY_SCOPE_BREAK,"CBUAE Annual Report 2016, Table 3.2.c Deposits at Conventional/Islamic Banks; broad year-end concept = Islamic-bank total deposits / total bank deposits = 332 / (1,139 + 332), values in AED billions. URL: https://www.centralbank.ae/media/um1brhvo/cbuae-annual-report-2016-en.pdf",PURE_DATA_COLLECTION_SCOPE_BREAK
2016,349,0.223289,OBSERVED_PRIMARY_SCOPE_BREAK,"CBUAE Annual Report 2016, Table 3.2.c Deposits at Conventional/Islamic Banks; broad year-end concept = Islamic-bank total deposits / total bank deposits = 349 / (1,214 + 349), values in AED billions. URL: https://www.centralbank.ae/media/um1brhvo/cbuae-annual-report-2016-en.pdf",PURE_DATA_COLLECTION_SCOPE_BREAK
2017,384,0.235872,OBSERVED_PRIMARY_SCOPE_BREAK,"CBUAE Annual Report 2017, Table 3.2.c Deposits at Conventional/Islamic Banks; broad year-end concept = Islamic-bank total deposits / total bank deposits = 384 / (1,244 + 384), values in AED billions. URL: https://www.centralbank.ae/media/buqfefnv/cbuae-annual-report-2017-en.pdf",PURE_DATA_COLLECTION_SCOPE_BREAK
2018,402,0.228929,OBSERVED_PRIMARY_SCOPE_BREAK,"CBUAE Annual Report 2018, Table 3.2.c Deposits at Conventional/Islamic Banks; broad year-end concept = Islamic-bank total deposits / total bank deposits = 402 / (1,354 + 402), values in AED billions. This differs from the narrower bulletin-based monetary+quasi-monetary series used in uae_islamic_cash_2018_2025/islamic_cash_annual.csv. URL: https://www.centralbank.ae/media/3wmdp3yu/cbuae-annual-report-2018-en.pdf",PURE_DATA_COLLECTION_SCOPE_BREAK
