atq_quartile,n_rows,median_atq,n_red,red_share
Q1 small,2833,361.851,435,0.1535474761736674
Q2,2832,1263.0182,380,0.134180790960452
Q3,2832,4729.0215,523,0.1846751412429378
Q4 large,2833,35801.362,1264,0.4461701376632545
,169,,67,0.3964497041420118
