debt_quartile,n_rows,median_debt_ratio,n_red,red_share
Q1 low debt,1859,0.0264404960898421,418,0.2248520710059171
Q2,1859,0.1028233099820557,722,0.3883808499193114
Q3,1858,0.1855063669358975,359,0.1932185145317545
Q4 high debt,1859,0.3599954489864101,446,0.2399139322216245
