atq_quartile,n_rows,median_atq,n_red,red_share
Q1 small,9958,435.0811,1223,0.1228158264711789
Q2,9960,1926.69365,853,0.0856425702811245
Q3,9955,7116.143,803,0.0806629834254143
Q4 large,9958,47419.58900000001,2008,0.2016469170516168
,3047,,999,0.3278634722678044
