debt_quartile,n_rows,median_debt_ratio,n_red,red_share
Q1 low debt,7707,0.0259780815904826,1228,0.1593356688724536
Q2,7708,0.1541257335274415,987,0.1280487804878048
Q3,7704,0.2900441945475998,644,0.0835929387331256
Q4 high debt,7707,0.4776614509572379,1090,0.1414298689503049
