gvkey,n_quarters,z_plus_lag1,z_plus_renorm_lag1,breadth_lag1,z_mahalanobis_sq_lag1,t_iut_lag1,z_plus_softmax_lag1,z_plus_orth_lag1
9,43,0.7404603820304307,0.5474302850921386,0.3411435766659491,-0.1591149349113277,0.5665768689660664,0.6763006041673374,0.6803713929518069
95,76,0.4033786945901651,0.3102641704325293,0.6999675271608147,0.1907220059331994,0.6478729933941767,0.2492328598116102,0.2536687659552459
96,92,0.5393318319666123,0.5141858403928401,0.4398737813156673,,0.6354821749762757,0.4611939228786725,0.4562604507394656
104,75,0.1798579328616904,0.3202172636326723,0.2167714594797515,0.3977575994613254,0.0683525712010717,0.0958597771043715,0.0909798194988431
105,77,0.1116539588113141,0.3553223310010538,0.1695389340421886,0.5340377891139104,0.8467868598673772,0.1744881051089195,0.1724618382623191
1095,87,0.8559837240921917,0.6612236877041787,0.7332846867371011,0.8778452300417616,0.9468789944739928,0.9220466493998636,0.92012073694322
1096,105,0.7203432687264386,0.3718279966252857,0.5757242796706392,0.5492725427616251,0.8842256703963338,0.0769581996423611,0.1073883943389294
1097,107,0.489445019042363,0.3594208045961602,0.6012387791497567,0.0832142735091205,0.5436340492651381,0.1478174393602118,0.1645599033497485
1098,80,0.7313684637875487,0.4100748124061524,0.4960276759966729,0.7218864471007674,0.8556533298751783,0.384330007153103,0.3091311862059292
1099,79,0.4311702118713145,0.2496194894327096,0.497610049883482,0.1925514154541933,0.5733106779649036,0.4739514636541783,0.4744559869065434
1100,49,0.7955104728454568,0.5723826325871448,0.4562074178761323,0.7538350523685482,0.962227497599948,0.2868152701598208,0.1984219949505344
1101,62,0.7253771758245183,0.5038288864569241,0.6403642787190134,0.4409266577003378,0.939715405716824,0.9030249928689807,0.9020342305559396
1351,93,0.4072933703330457,0.4138096517848705,0.624958496379884,-0.0346409667593185,0.9449546673856648,0.4033164580121161,0.4084525560487939
1352,104,0.5942706915261824,0.7088098172229207,0.4448037947391116,,0.90834041873843,0.5656415051408012,0.5644776482112127
1353,104,-0.0301130316953545,0.0360103925783045,0.2789693177670156,,0.6773002226396657,0.0320405022521891,0.0306044991175367
1354,100,0.5039610868662542,0.4573010747267646,0.5601212602241887,,0.9523502230742013,0.5267854959141895,0.5239837560904766
1355,102,0.5231242499306828,0.4733047740272269,0.4913791951973782,0.4938382806689798,0.7899290230184726,0.1368686694508674,0.1438724204821768
1358,93,0.7314642458610222,0.7645859854466958,0.4727170433523386,0.6223145323526061,0.9999999999999998,0.7790836704995147,0.7845680727222428
1359,93,0.6730250438283836,0.7548243194216637,0.2444303441978952,,0.753877589779229,0.7226007809461552,0.7213758912926965
1360,89,0.6624956529833589,0.3781530573148163,0.5040815233195515,,0.823150995378178,0.5673928906725322,0.5705400001547083
1361,88,0.5964549572883628,0.6961689454253492,0.5953074250167041,0.1321921761140841,0.8337357021499494,0.6116908279550778,0.6090189063141972
1556,96,0.5020992040965604,0.6175050365868652,0.1151182230714114,0.6275112916597693,0.3925004850349277,0.6465242941327791,0.6450002139496239
1562,96,0.6401193175929414,0.3537663113873789,0.7381727010058392,,0.8957997369168194,0.6407286402905649,0.6318101364332456
1563,62,0.3032742045326236,0.5732756529235544,0.3268628598542649,0.2520027206719151,0.5572240385537656,0.4562159076870581,0.4589727542001339
1564,97,0.6957228429417059,0.2928896926587257,0.6626713280146147,0.6226017645044223,0.9341203166589952,0.0738698360180113,0.1011754605809816
1587,93,0.5928656663820391,0.4929590910729638,0.4858947066241328,0.5578037601427202,0.497511520287234,0.5201992179879329,0.5256934860977056
1588,100,0.1608883837442673,-0.0317346560736893,0.546842082040691,-0.061400122184372,0.7427600956916437,0.1022607028047299,0.1023351971143929
1589,97,0.6246495149310393,0.5607305390006354,0.4744064611640565,,0.9642042780771632,0.5991918206373893,0.5983373775261074
1590,95,0.670052436140858,0.3332772286717858,0.4266848747727489,,0.8604137855350469,0.5990295497665797,0.5998215105691632
1591,104,0.4003010393186483,0.567098432183627,0.5330001320574935,0.5787232958386762,0.4218562854371182,0.4009260456571503,0.3426815030798647
1592,65,0.5177206169708901,0.524217551120778,0.586164091953622,0.089505155463688,0.426809730681297,0.7034662719818132,0.7019197424826921
1615,87,0.6955921724367093,0.6174198416475765,0.5656743292276973,0.3178902850587708,0.5541915054120433,0.5862756414403776,0.5875977784743378
1616,97,0.4929425101432739,0.5387891704873781,0.3457117129566118,0.6963635377946682,0.7791795022840099,0.5664113024573879,0.555441851106125
1619,88,0.559456490734056,0.2337985380762239,0.4588296278821212,,0.9279921047598648,0.5072727126972202,0.5095641917195949
1620,81,0.5868110414894298,0.4279502764711504,0.457350970768019,0.5043332152382181,0.9128576360667392,0.5663652630350988,0.5697328357877909
1621,88,0.5956790925002035,0.5640044185426748,0.4998288678064621,0.3753825295600263,0.041253115648322,0.5877470093815522,0.5912910202763534
1622,100,0.5921451872452511,0.3775833163175348,0.5387208733135257,0.2980137345820734,0.7557809650710381,0.4328251878758418,0.4340766569011094
1625,79,0.2599306605523204,0.0521772166499972,0.5115498116427066,-0.0732501082440338,0.5127577636040804,0.4370798114638173,0.4365128271563148
1629,100,0.1263610244643909,0.2098831171558597,0.1605503032157346,0.091976067472016,0.5180422156117419,0.3131543711346147,0.312455239379369
1650,87,0.2498813465713467,0.3958557540400012,0.0154683957985372,0.4622845590053117,0.7582982242018264,0.5049509399361805,0.5050995472405175
1661,105,0.7506510618676501,0.2407736714178148,0.6892689160078712,0.5359476547807471,0.7771276853581419,0.2588165003567129,0.1104318754109679
1664,68,0.1706598722085462,0.2499634490354921,0.3509881625766905,0.0838337696734332,0.4715711224003414,0.1024795111047878,0.0989320155656345
1666,81,0.647771437119121,0.7341819137880026,0.4490576988470049,0.7758402094065222,0.471919554519971,0.6455763875639465,0.6319364383515642
1676,69,0.6670221317687536,0.5518535969695095,0.4710665557908481,0.6286287670472082,0.8699214984921445,0.2612532624726184,0.1411316772361349
1678,96,0.285929404178504,0.1564383743869425,0.404939706282269,0.2909089701194207,0.5603929474004655,0.225937349668822,0.2295502450788129
1692,82,0.4651528935653479,0.547176729222978,0.3531849583896427,,0.5173477295795759,0.5830413107316496,0.5894590859409313
1694,81,0.6904168051483269,0.4695216011808272,0.7647471726855545,,0.8807333834903234,0.7565888223803034,0.7636616922121888
1698,79,0.3127618945327955,0.1534038920298788,0.4222187790590445,0.5067657886825173,0.5719478530177593,0.2396703326659696,0.2372110702648192
1699,91,0.3728344152508486,0.4248815802025238,0.676235609464038,0.3882198778763598,0.6133840039720987,0.3887238505930483,0.3873587326498146
1701,97,0.6327843567531344,0.5866033371619582,0.6100124185501364,0.417337876742234,0.5608053690942215,0.7097045692772174,0.70884434673107
1704,85,0.7740518434130941,0.5588368497370962,0.7030590019938205,0.502711626287651,0.622429828781248,0.5984018715037732,0.5892048845758274
1706,97,0.6189351403649014,0.2973189156261676,0.5617110834364514,0.5155550316940778,0.9467471822117396,0.1379139172263234,0.1783398892996954
1707,88,0.3025514904785778,0.2697440123617553,0.4155272020916376,0.310513410717913,0.7705313368873719,0.2319476575792594,0.23783169943233
1709,104,0.2926882014789547,0.273636146216226,0.5086090243891777,0.0082727776149352,0.7512416949906368,0.2894050816345198,0.2924445440756508
1710,96,0.6312449939232498,0.3919167451823808,0.5894985386329443,0.1458834078304519,0.7716556011135817,0.6661965143260153,0.6638232864669313
1711,94,0.4947293715361134,0.2542695058179495,0.5308963309681886,0.1077863612879687,0.8543302662074009,0.2535883167048779,0.2549184208901049
1712,104,0.263037041377148,0.3176994914362273,0.2920257596748058,-0.0248975081916336,0.7729997431714802,0.3273336982422348,0.3160252336802964
1715,92,0.5853792930837758,0.500419089885557,0.6213611958235061,0.1995429438981247,0.8626306473273636,0.7345517664600143,0.736850199421793
1716,89,0.3466426878297073,0.0708256510281688,0.4297334845991278,,0.9190798886752996,0.2516662857395321,0.2517790434711078
1717,84,0.3075314302375671,0.3195365586769912,0.5126264728751055,0.4691164404430084,0.7445898993502988,0.4324157379616402,0.4272741421426211
1718,89,0.3470696441911418,0.1461955461270624,0.3418891982189636,0.1149096929706578,0.500263908020875,0.2054611905279855,0.205524873892925
1719,86,0.658285952676677,0.3960568264104066,0.494525489283254,0.5073859370650918,0.8428545932852956,0.0626338311137221,0.0503454947970718
1720,88,0.526715359562473,0.4484159116197989,0.3555754673538586,0.4941981105490914,0.5509943248040101,0.4823058589712606,0.4841997091199472
1721,90,0.5839532116872008,0.5571683505048712,0.5569122664658367,0.3594210094252,0.7089041045354805,0.6775355211715043,0.6795267596722311
1723,104,0.3234561566474719,0.3285114942388183,0.4403194967746544,0.2020797984065277,0.7118396475966826,0.5403021115351779,0.5422159077520774
1724,96,0.3922196966344541,0.326463012820575,0.4917731799910727,,1.0,0.2789514579094443,0.2806400268100139
1725,92,0.3667234886990627,0.284568235706594,0.4623881125928344,0.036860887759514,0.6783555532237785,0.2879074931098395,0.28424808652024
1726,83,0.2772530470796773,0.1266519297595548,0.3106603733273487,0.1226785321350963,0.5831414955337535,0.2251389448564552,0.2241029990530046
1727,80,0.5105674618194396,0.4203100020994865,0.5006868913188559,0.1909795424700179,0.2527903972482032,0.5094322643405573,0.5075755107176874
1728,85,0.4114395003823268,0.600431949983084,0.6992634801867817,0.1978352298425028,0.0489316629776665,0.4762510983588416,0.4715760405196373
1729,18,0.2580073235610398,0.3007953055469744,0.4246663997825387,0.5630416043075156,-0.0560704229263393,0.3358598963944163,0.3420041171987359
1730,98,0.4651260296609085,0.6390391159045414,0.5304033300246846,0.1509098798583831,0.7937387379199574,0.6076954836410414,0.6089099938756622
1731,87,0.6699177425047549,0.6547435471314563,0.5112843170074344,,0.8793299674135852,0.6725392575964245,0.6694782561676577
1732,83,0.6038463388083544,0.6410920409774263,0.3317443879264675,0.7839772316073303,0.1797938434695458,0.756227453542414,0.7551112030403818
1733,88,0.6288035704802548,0.6715561836999133,0.6414659293423888,0.5838711417431194,0.8306468928543375,0.7516413324598085,0.7485453845923232
1734,85,0.5596616188792092,0.4548640412692886,0.4522258429939806,0.4330383002177289,0.7613332111297969,0.6129147357634743,0.6078198463645351
1735,83,0.6254803938566409,0.6360801290284777,0.3348854753680461,0.4642757936880329,0.2231120434282703,0.736479288105815,0.7376890289991863
1736,88,0.6383071834205146,0.2472277167765123,0.6931806211384764,,0.7380330774304066,-0.036335906318125,-0.041792499716685
