auc_z_plus,precision_z_plus_a0.05,recall_z_plus_a0.05,precision_z_plus_a0.01,recall_z_plus_a0.01,precision_z_plus_a0.001,recall_z_plus_a0.001,auc_z_plus_renorm,precision_z_plus_renorm_a0.05,recall_z_plus_renorm_a0.05,precision_z_plus_renorm_a0.01,recall_z_plus_renorm_a0.01,precision_z_plus_renorm_a0.001,recall_z_plus_renorm_a0.001,auc_z_mahalanobis_sq,precision_z_mahalanobis_sq_a0.05,recall_z_mahalanobis_sq_a0.05,precision_z_mahalanobis_sq_a0.01,recall_z_mahalanobis_sq_a0.01,precision_z_mahalanobis_sq_a0.001,recall_z_mahalanobis_sq_a0.001,auc_t_iut,precision_t_iut_a0.05,recall_t_iut_a0.05,precision_t_iut_a0.01,recall_t_iut_a0.01,precision_t_iut_a0.001,recall_t_iut_a0.001,dz_z1,dz_z2,dz_z3,dz_z4,dz_z6,dz_z8,dz_z57,mechanism,rho,n_total,n_contaminated
0.4303203728833559,0.0,0.0,0.0,0.0,0.0,0.0,0.5331071515970052,0.0080213903743315,0.0283018867924528,0.0,0.0,,0.0,0.5986978226356483,0.0139372822299651,0.0701754385964912,0.0,0.0,0.0,0.0,0.3392569434223809,0.0,0.0,0.0,0.0,0.0,0.0,0.0749562701423386,-1.126228044400997,-0.0385639684933222,-0.9173081458655924,-0.0546872350963028,0.2784135992283409,-0.2858827356348093,M1_threshold,0.01,13086,119
0.4739464332741643,0.0285714285714285,0.0102564102564102,0.0263157894736842,0.0017094017094017,0.0,0.0,0.5213530100760786,0.0692307692307692,0.051039697542533,0.0694444444444444,0.0094517958412098,,0.0,0.6280551292235788,0.0982456140350877,0.1064638783269961,0.08,0.0228136882129277,0.0,0.0,0.3850987916534135,0.0358056265984654,0.0478632478632478,0.0169491525423728,0.0068376068376068,0.0449438202247191,0.0068376068376068,0.0481846458068646,-1.1767548703135056,-0.0054151446699221,-0.118724491811276,-0.0363822689779382,0.085292339648255,0.1553461375507143,M1_threshold,0.05,13086,585
0.4426575513672648,0.0424528301886792,0.0071033938437253,0.025,0.0007892659826361,0.0,0.0,0.462412300812854,0.0916030534351145,0.0303541315345699,0.131578947368421,0.0084317032040472,,0.0,0.4958134613799151,0.0836236933797909,0.042031523642732,0.0657894736842105,0.0087565674255691,0.0,0.0,0.4354760527293549,0.0657030223390276,0.0394632991318074,0.0643776824034334,0.0118389897395422,0.0555555555555555,0.0039463299131807,0.0331045976749634,-1.1021993499076772,0.0122202160814799,0.1988678195230344,0.057224446653922,-0.0275720896530194,-0.0576491822848088,M1_threshold,0.1,13086,1268
0.5944991641373423,0.0046948356807511,0.0096153846153846,0.0,0.0,0.0,0.0,0.540764435695538,0.0108695652173913,0.0392156862745098,0.0,0.0,,0.0,0.6083937995736132,0.0276816608996539,0.1509433962264151,0.0,0.0,0.0,0.0,0.471858179005027,0.0076824583866837,0.0576923076923076,0.0087719298245614,0.0192307692307692,0.0113636363636363,0.0096153846153846,1.1174860896346055,-0.3726124439186897,-0.0949115550012689,0.2477856929936915,0.1534251614870977,-0.1821389608026488,0.1423802316641639,M2_smoothing,0.01,13086,104
0.4959227298273785,0.0514018691588785,0.0176,0.054054054054054,0.0032,0.0,0.0,0.510350392764728,0.0783783783783783,0.0490693739424703,0.0704225352112676,0.0084602368866328,,0.0,0.5199975211166038,0.0578231292517006,0.0512048192771084,0.0379746835443038,0.0090361445783132,0.0,0.0,0.4593822240064231,0.0293367346938775,0.0368,0.0045045045045045,0.0016,0.0,0.0,0.5438952481407608,-0.297113286164772,-0.2111651371428769,-0.0673526423402476,-0.1242000886001798,-0.245872808274294,-0.1737783055977381,M2_smoothing,0.05,13086,625
0.5206432416260315,0.0922330097087378,0.0138383102694828,0.0857142857142857,0.0021849963583394,0.0,0.0,0.4979123308136448,0.0875331564986737,0.0250379362670713,0.0857142857142857,0.0045523520485584,,0.0,0.5258741502701194,0.1211072664359861,0.0481430536451169,0.0714285714285714,0.0068775790921595,0.0,0.0,0.4663035188327076,0.0812182741116751,0.0466132556445739,0.0669642857142857,0.010924981791697,0.034090909090909,0.0021849963583394,0.3355244995342548,-0.285780008518406,-0.0870449653447886,-0.0349704319396796,0.0560612982956889,0.02600508854991,-0.0495072405388761,M2_smoothing,0.1,13086,1373
0.76128741280151,0.0841121495327102,0.1475409836065573,0.0833333333333333,0.0245901639344262,0.5,0.0081967213114754,0.723538799452753,0.0296495956873315,0.0924369747899159,0.0,0.0,,0.0,0.8541851282087637,0.0659722222222222,0.4130434782608695,0.0869565217391304,0.1304347826086956,0.5,0.0434782608695652,0.6024887467454753,0.0280612244897959,0.180327868852459,0.0472103004291845,0.0901639344262295,0.0444444444444444,0.0327868852459016,2.427382812489351,0.8818121904413644,0.0485927181803727,0.2733724302349579,-0.0295385840187422,0.3350400832138579,1.2920245868939273,M3_benford,0.01,13086,122
0.757380848663627,0.3720930232558139,0.13933236574746,0.5964912280701754,0.0493468795355587,0.8333333333333334,0.0072568940493468,0.7356964447923254,0.1928934010152284,0.1132637853949329,0.1333333333333333,0.014903129657228,,0.0,0.7484682990848189,0.255591054313099,0.273972602739726,0.34375,0.0753424657534246,0.5,0.0068493150684931,0.6005805749502864,0.1335012594458438,0.1538461538461538,0.200836820083682,0.06966618287373,0.2178217821782178,0.0319303338171262,2.004112118729474,1.386164936677357,0.3003816730456354,0.1218486843371577,0.1981538002956083,0.4968555781187184,0.5490616004480133,M3_benford,0.05,13086,689
0.7538602130558653,0.6166666666666667,0.1608695652173913,0.7586206896551724,0.0478260869565217,1.0,0.0130434782608695,0.7394950894748205,0.4081196581196581,0.1416913946587537,0.4090909090909091,0.0267062314540059,,0.0,0.7484062186326039,0.4910941475826972,0.2805232558139535,0.5909090909090909,0.0755813953488372,0.9,0.0130813953488372,0.5741952495974235,0.1609947643979057,0.0891304347826087,0.1919642857142857,0.031159420289855,0.1494252873563218,0.0094202898550724,2.1816498356449125,1.7200734964467266,0.2711451859109139,-0.1664927660906632,-0.0253801220912732,0.3945030217978082,0.3557463467161539,M3_benford,0.1,13086,1381
0.4941427286465296,0.0094786729857819,0.0141843971631205,0.0256410256410256,0.0070921985815602,0.0,0.0,0.5271286014215971,0.0108108108108108,0.0307692307692307,0.0140845070422535,0.0076923076923076,,0.0,0.5214560050824454,0.0106007067137809,0.0441176470588235,0.0131578947368421,0.0147058823529411,0.0,0.0,0.52228816174532,0.003831417624521,0.0212765957446808,0.0,0.0,0.0,0.0,-0.0809155583301743,0.0680123974962771,0.0983604384241148,-0.0306844770015017,-0.2081590358771349,0.0643776937082055,0.0322778410862601,M4_inconsistency,0.01,13086,141
