facet,value,detector,n,mean,std
year,2016.0,z1,299,0.2948633743050834,1.7053029645024531
year,2016.0,z2,301,0.1298935250735687,2.3994471491392235
year,2016.0,z3,298,-0.0830898178922709,0.9940575663534776
year,2016.0,z4,301,-0.0547466342219578,1.1092399883409605
year,2016.0,z6,299,1.0609198522601793,2.2933628875202747
year,2016.0,z8,215,-0.0907222736323507,1.0155001922247482
year,2016.0,z57,301,0.0182103142255979,1.3737345487025376
year,2017.0,z1,330,0.4186860268322681,1.9493437965233245
year,2017.0,z2,332,0.026856599372459,2.396065507810673
year,2017.0,z3,330,0.1083626582187567,0.9743925261557196
year,2017.0,z4,332,-0.0138963386681233,1.1362642959627716
year,2017.0,z6,329,1.0180893844135666,2.286862333348972
year,2017.0,z8,223,-0.0766022812138856,1.0071622805973022
year,2017.0,z57,332,-0.0158055747229785,1.2575753715048346
year,2018.0,z1,347,0.2306601920917414,1.878393041135574
year,2018.0,z2,351,0.1099450850514584,2.437370017142196
year,2018.0,z3,350,0.0719950037827888,1.0314307376163283
year,2018.0,z4,351,-0.027686217903358,1.0868919695801935
year,2018.0,z6,346,1.1784272852478892,2.306427882337708
year,2018.0,z8,250,0.1262228974501945,1.0461805288572168
year,2018.0,z57,351,-0.0813940241286896,1.0251272965887328
year,2019.0,z1,365,0.347424320143407,1.87174261775626
year,2019.0,z2,366,-0.119114460748707,2.425532001914344
year,2019.0,z3,363,0.0401511579761821,0.9615531362015394
year,2019.0,z4,366,-0.0593054416028827,1.077950206719825
year,2019.0,z6,364,1.0007161131046305,2.1853262095321795
year,2019.0,z8,257,-0.0268109301423902,1.0424128223841869
year,2019.0,z57,366,-0.0715057463898012,1.1194672982632374
year,2020.0,z1,390,0.1769026359429929,1.5606877059278426
year,2020.0,z2,393,-0.0836191325522167,2.490825813574701
year,2020.0,z3,383,-0.1253001908515874,1.091085238852593
year,2020.0,z4,393,-0.0975226246650099,1.0026678398957596
year,2020.0,z6,389,1.0176831791861018,2.246247628754616
year,2020.0,z8,279,-0.0060955069693771,1.0768716207612674
year,2020.0,z57,393,0.0769734083005408,1.1844556504947503
year,2021.0,z1,446,0.2831929758674244,1.8124220108603464
year,2021.0,z2,450,0.4065951237305188,2.484700795298116
year,2021.0,z3,448,-0.1552048034599071,1.0666388101152515
year,2021.0,z4,451,-0.1331005143326193,0.9982573266247158
year,2021.0,z6,440,0.9084983406543884,2.342358143340891
year,2021.0,z8,331,-0.0820507352319742,0.9380271990841896
year,2021.0,z57,450,0.0776444682121599,1.0645928224011798
year,2022.0,z1,523,0.2312671024946818,1.6739025639687803
year,2022.0,z2,525,0.5409230653994639,2.4714314850258194
year,2022.0,z3,521,0.0445532352756861,1.0075557624165885
year,2022.0,z4,525,-0.1233206002885741,0.954580344396294
year,2022.0,z6,519,1.2277483066487545,2.413109513763345
year,2022.0,z8,387,0.0769957527649985,0.9880554920367066
year,2022.0,z57,526,0.1303831448131436,1.2042895717836672
year,2023.0,z1,557,0.2442482737430543,1.6999956221861423
year,2023.0,z2,557,0.3569527927348408,2.572057183775593
year,2023.0,z3,556,0.0591116998721746,0.9624689317637908
year,2023.0,z4,556,-0.1084626786704111,0.9505262232017062
year,2023.0,z6,556,0.9880457770453268,2.424699564069792
year,2023.0,z8,438,0.0421002130638468,1.014710580062833
year,2023.0,z57,557,0.1042630175378463,1.2565372288622394
year,2024.0,z1,583,0.3038742040511372,1.7491174653777055
year,2024.0,z2,583,0.065670255208253,2.5454821024795447
year,2024.0,z3,580,0.029337574872072,0.93123354192106
year,2024.0,z4,583,-0.1160773670330267,0.952599479117254
year,2024.0,z6,583,0.864934347067011,2.216719309341958
year,2024.0,z8,461,-0.0031578462420881,0.9479624301994476
year,2024.0,z57,583,0.0567063448924589,1.0529541613404807
sector,Communication Services,z1,190,-0.0330014147951683,1.3906634050673066
