composite,variant,n_finite,q500,q900,q950,q990,q999
z_plus,parametric,10000,0.526934826166299,1.1285078053280169,1.3384496038122335,1.7214518035360884,2.160677296724228
z_plus_renorm,parametric,9891,1.084342198892546,1.9431630524714327,2.271874758035067,2.932247355771539,4.115326303982366
breadth,parametric,10000,0.4285714285714285,0.7142857142857143,0.8571428571428571,1.0,1.0
z_mahalanobis_sq,parametric,10000,6.329803929059848,12.0713396238463,13.914410567174338,18.19370987966114,24.3923712637255
t_iut,parametric,10000,-1.8732826803237963,-0.7028151850902836,-0.4487449848354249,0.047677677472327,0.4529029866170856
z_plus_softmax,parametric,9891,1.4977340658322995,3.5366913753118663,4.441362535693663,6.172897764652887,7.888966427648775
z_plus_orth,parametric,9891,1.5578481462035474,3.63826981721227,4.534813781900489,6.223955604313704,7.912591234973766
z_plus,non_parametric,10000,0.5603084485222134,1.4544314511491114,1.7276292637943675,2.253692114083089,2.7239541109532786
z_plus_renorm,non_parametric,9903,1.1615455666118442,2.507898337904052,3.0904597181494693,4.193469076236791,5.997807019601637
breadth,non_parametric,10000,0.4285714285714285,0.7142857142857143,0.8571428571428571,1.0,1.0
z_mahalanobis_sq,non_parametric,10000,5.950485319031289,12.14562163483946,19.541718329583755,36.78499220939622,59.06415550253754
t_iut,non_parametric,10000,-1.510526664011715,-0.6946530986085667,-0.4908723694812127,0.0584786555536451,0.2801756816848518
z_plus_softmax,non_parametric,9903,1.6621726519364826,5.898311339598654,5.930197598157291,5.97986300474173,5.997807019601637
z_plus_orth,non_parametric,9903,1.7369410132690046,5.936011148238061,5.96463950682482,5.993603746696589,5.997807019601637
