composite,n_strict_rows,jaccard_top_n,share_of_full_top_n_in_strict,top_n
z_plus,33893,0.6,0.75,100
z_plus_renorm,32768,0.7094017094017094,0.83,100
breadth,33893,0.8867924528301887,0.94,100
z_mahalanobis_sq,19470,0.7094017094017094,0.83,100
t_iut,33893,0.9801980198019802,0.99,100
z_plus_softmax,32768,0.7241379310344828,0.84,100
z_plus_orth,32768,0.6666666666666666,0.8,100
