gvkey,n_early,n_late,last_quarter,z_plus_early_mean,z_plus_late_mean,z_plus_delta,z_plus_renorm_early_mean,z_plus_renorm_late_mean,z_plus_renorm_delta,breadth_early_mean,breadth_late_mean,breadth_delta,z_mahalanobis_sq_early_mean,z_mahalanobis_sq_late_mean,z_mahalanobis_sq_delta,t_iut_early_mean,t_iut_late_mean,t_iut_delta,z_plus_softmax_early_mean,z_plus_softmax_late_mean,z_plus_softmax_delta,z_plus_orth_early_mean,z_plus_orth_late_mean,z_plus_orth_delta
107,86,4,2025-Q3,1.1164439330600986,1.2492117782070518,0.1327678451469531,2.5146950512770445,2.158838507875851,-0.3558565434011935,0.4700996677740861,0.5714285714285714,0.1013289036544852,18.90520518144041,9.895879333221306,-9.00932584821911,-2.34411188749227,-1.7945384156293689,0.5495734718629015,4.550166178979121,4.909767673939053,0.3596014949599313,4.612629408307445,5.002695185159672,0.3900657768522269
144,82,4,2025-Q3,1.5664125230019226,1.6287530794854717,0.062340556483549,2.4862495318162323,2.2802543112796605,-0.2059952205365718,0.6358885017421603,0.7142857142857143,0.078397212543554,43.41421240327751,46.45551857829494,3.041306175017432,-3.677572727040173,-5.5452229033526805,-1.8676501763125075,5.526183327245712,5.8660873241577,0.3399039969119881,5.55022575403954,5.879285896293755,0.3290601422542147
168,85,4,2025-Q3,0.448908868726793,1.1180825294145178,0.6691736606877248,0.9880960056312482,2.422541542937697,1.4344455373064486,0.4117647058823529,0.4642857142857143,0.0525210084033613,4.915192464823227,22.71227875313224,17.79708628830901,-1.5789375250668714,-3.0610047100710167,-1.4820671850041454,1.8100467441451509,4.822085700841294,3.012038956696143,1.8682680798131883,4.854887567323863,2.986619487510674
175,85,4,2025-Q3,0.4894589733722296,0.1908861375333533,-0.2985728358388763,1.2391803042761025,0.7317651719660849,-0.5074151323100173,0.4100840336134453,0.3214285714285714,-0.0886554621848739,5.831841076844419,3.456161711762221,-2.375679365082197,-1.5405873583617056,-2.776506936240489,-1.2359195778787837,2.0248384339622096,0.8870529901276817,-1.1377854438345278,2.076162219518012,0.963806877253617,-1.1123553422643948
176,100,4,2025-Q3,1.2937866901334434,1.836208082905911,0.5424213927724677,2.2752965895146544,3.049407132220079,0.7741105427054245,0.5685714285714285,0.6071428571428572,0.0385714285714287,40.297309853545485,52.17688664695574,11.879576793410251,-3.244723963461886,-5.67034081785944,-2.4256168543975543,5.138665650095639,5.869828171524835,0.7311625214291961,5.151286506905167,5.8771988278743015,0.7259123209691349
179,89,4,2025-Q3,0.9379945535250392,0.818066395419986,-0.1199281581050532,1.6845617853480317,1.5266515024036875,-0.1579102829443437,0.5569823434991974,0.5357142857142857,-0.0212680577849116,16.74502574098729,10.687589101475034,-6.057436639512257,-2.1971062606789578,-3.560659030811849,-1.3635527701328911,3.1524958073987683,2.63125361922544,-0.5212421881733285,3.180906786549286,2.6392821693787125,-0.5416246171705734
185,83,4,2025-Q3,0.9727726193622792,0.5240774970030947,-0.4486951223591846,1.9495488928777795,1.0961392349274173,-0.853409657950362,0.5129087779690189,0.5,-0.0129087779690189,22.024023664123117,13.159366453710184,-8.86465721041293,-2.8236403969183583,-4.477392463718391,-1.6537520668000325,4.257402465659316,2.07501504047788,-2.182387425181436,4.279929230932276,2.078327371876776,-2.2016018590555
188,80,4,2025-Q2,1.839872156567914,1.9342499948788516,0.0943778383109374,2.8247870921808977,3.250858305078875,0.4260712128979773,0.6428571428571429,0.6071428571428571,-0.0357142857142858,33.98267432230509,33.335539710625405,-0.6471346116796823,-1.3571410983780765,-1.3079590905556735,0.0491820078224025,5.0396392225638165,5.920744277755962,0.8811050551921458,5.0737325590868565,5.925310879382001,0.8515783202951441
189,81,4,2025-Q3,1.2709957068570277,1.3803231065206922,0.1093273996636647,2.3918651305484877,3.552006094276091,1.1601409637276037,0.5485008818342152,0.3928571428571428,-0.1556437389770724,34.87896777226583,41.42315827762935,6.544190505363517,-3.4140277778395576,-3.8939771687457623,-0.4799493909062051,5.366578941793283,5.840190857819946,0.4736119160266634,5.382736067273656,5.845669270635652,0.4629332033619961
201,88,4,2025-Q1,0.4729467998409799,1.187111049939208,0.7141642500982279,0.9706471259427756,1.7729618711891189,0.8023147452463432,0.4545454545454545,0.6785714285714286,0.224025974025974,13.70873320631481,33.25927069921204,19.550537492897227,-3.489529593287464,-4.538894086042931,-1.0493644927554668,2.010014921145111,5.895253625966821,3.88523870482171,2.040636965534911,5.919485613878389,3.878848648343478
202,80,4,2025-Q3,0.5597684381373896,1.1357051049965528,0.5759366668591631,1.3813415474628843,2.4225821559886525,1.041240608525768,0.3999999999999999,0.4642857142857143,0.0642857142857143,5.551485267384422,8.693863555491134,3.1423782881067126,-1.2186086997642187,-1.0409040831581953,0.1777046166060234,2.339696494611006,5.425119566297134,3.085423071686128,2.430043918525601,5.48822569507289,3.058181776547289
204,85,4,2025-Q3,0.498959817009066,0.2754689436126185,-0.2234908733964474,1.3491434397596325,0.8043893686880044,-0.5447540710716281,0.3747899159663865,0.3214285714285714,-0.0533613445378151,9.65772232918071,5.039833458951744,-4.617888870228967,-2.500742390414693,-2.797298924912763,-0.29655653449807,2.314934390407784,0.9194321256782384,-1.3955022647295454,2.362390675706839,0.944682937055218,-1.417707738651621
205,92,4,2024-Q3,0.9188989721979084,0.6580494160509326,-0.2608495561469759,1.5994651043401735,1.3007019320804976,-0.2987631722596759,0.5885093167701863,0.5,-0.0885093167701862,15.658630832509932,8.915228572588655,-6.743402259921279,-2.062201139148655,-3.519260795039532,-1.4570596558908768,3.126120817532682,1.8663961540383731,-1.2597246634943084,3.164517780315604,1.9632993797539655,-1.2012184005616384
206,66,4,2025-Q3,0.611446409774428,0.2203665204324971,-0.3910798893419308,1.4858831214276575,0.7712828215137401,-0.7146002999139175,0.354978354978355,0.2857142857142857,-0.0692640692640693,9.886726733786148,3.192792129419189,-6.693934604366959,-1.7709792699312497,-1.9891948065171177,-0.2182155365858682,2.7850431115352303,0.904418913601448,-1.8806241979337823,2.823342766358854,0.9213920161107988,-1.901950750248055
207,66,4,2017-Q3,1.2224449856434525,1.8478424564052596,0.6253974707618069,1.843086097870136,2.8754134258739867,1.032327328003851,0.6818181818181817,0.6428571428571428,-0.0389610389610388,15.504630919384402,32.85884252449522,17.35421160511082,-1.2042406936298455,-2.148161430847852,-0.9439207372180064,3.95469842857012,5.887322052383785,1.9326236238136647,3.99478602406834,5.932267727991585,1.9374817039232448
