composite,variant,n_finite,q500,q900,q950,q990,q999
z_plus,parametric,10000,0.529808119502128,1.0759133709408766,1.2518511531376038,1.5772923881278271,2.0359396387493667
z_plus_renorm,parametric,9906,1.0768723248696086,1.8938476473002632,2.18252611092285,2.93284300630985,4.407393177801966
breadth,parametric,10000,0.5714285714285714,0.7142857142857143,0.8571428571428571,1.0,1.0
z_mahalanobis_sq,parametric,10000,6.329803929059846,12.0713396238463,13.914410567174338,18.19370987966114,24.392371263725494
t_iut,parametric,10000,-1.8826904873688752,-0.7236557092483189,-0.4477161635326824,0.0372289104339091,0.4534458878527606
z_plus_softmax,parametric,9906,1.4889532054707326,3.39304755011632,4.147718777235655,5.605425951994215,7.105681499533962
z_plus_orth,parametric,9906,1.5556607289414843,3.473435214340467,4.219198829133373,5.642350539083744,7.115293237783013
z_plus,non_parametric,10000,0.5451147237803189,1.2963579942600083,1.5351380719031271,1.999570719019495,2.5214830522945486
z_plus_renorm,non_parametric,9879,1.061126657074938,2.3754023632571606,2.839262568664366,4.081174526667448,5.997807019601637
breadth,non_parametric,10000,0.5714285714285714,0.7142857142857143,0.8571428571428571,1.0,1.0
z_mahalanobis_sq,non_parametric,10000,5.748513458644396,14.39387761920982,17.225067546918876,28.068054771770345,52.71183439361136
t_iut,non_parametric,10000,-1.5008852495280478,-0.6547260687082046,-0.4089281416423849,0.038582506241241,0.4033136889952276
z_plus_softmax,non_parametric,9879,1.5085699325788675,5.868347698386601,5.926360404949868,5.9764637230686,5.997807019601637
z_plus_orth,non_parametric,9879,1.5922692944493346,5.900512345505655,5.945731180555354,5.985358945018724,5.997807019601637
