sector,n_rows,meets_peer_group_min_size,meets_d7_floor
Materials,166,True,True
Financials,109,True,True
Consumer Discretionary,98,True,True
Consumer Staples,87,True,True
Industrials,77,True,True
Real Estate,74,True,True
Health Care,54,True,True
Communication Services,33,True,True
Energy,23,True,True
Utilities,15,True,True
Information Technology,8,False,False
