facet,value,detector,n,mean,std
sector,Consumer Staples,z1,35,-0.3587823394905524,1.2899163154885225
sector,Consumer Staples,z2,35,0.5969365782041491,1.2930088532793855
sector,Consumer Staples,z3,35,0.1520821082867671,1.500628395144605
sector,Consumer Staples,z4,35,-0.6997349194841351,0.418515917305884
sector,Consumer Staples,z6,35,0.4320496633476361,1.987642198862691
sector,Consumer Staples,z57,35,-0.0137757244075041,0.9459345530424166
sector,Financials,z1,64,1.272773961791907,2.679731385272586
sector,Financials,z2,65,-1.7996762866394491,2.5817661817394395
sector,Financials,z3,35,-0.0623798336941445,0.8878492394257846
sector,Financials,z4,65,-0.752436305396577,1.032623248479273
sector,Financials,z6,63,0.8889169140225227,1.9855223361005447
sector,Financials,z57,65,-0.0677728138134436,1.0896450993198945
sector,Industrials,z1,73,1.003179583490721,2.3002440390785184
sector,Industrials,z2,73,0.1510675939661468,2.1322422655124296
sector,Industrials,z3,73,-0.0201546784580821,0.8710654948433265
sector,Industrials,z4,73,0.3941766019113009,0.814960520946917
sector,Industrials,z6,72,1.2185212148468545,2.4322778233286875
sector,Industrials,z8,68,0.1019387616253498,0.9429784530494778
sector,Industrials,z57,73,0.1730247196944455,1.1393127408828547
sector,Real Estate,z1,50,1.0307413621605566,2.7247057809937294
sector,Real Estate,z2,50,0.4788297446043361,1.4642010842013211
sector,Real Estate,z3,50,0.3680718177912082,0.8176851524100037
sector,Real Estate,z4,50,-0.3392025543312772,0.7470802147616323
sector,Real Estate,z6,50,0.9119660676775502,2.228244407917014
sector,Real Estate,z8,46,0.0447464900753053,0.9711789725777964
sector,Real Estate,z57,50,0.0319747076783497,1.0055553115477618
