detector,n_valid,n_total,share_valid
z1_valid,53610,58032,0.9238006617038876
z2_valid,57157,58032,0.984922111938241
z3_valid,58032,58032,1.0
z4_valid,54920,58032,0.9463744141163496
z5_valid,58032,58032,1.0
z6_valid,49747,58032,0.8572339398952302
z7_valid,58032,58032,1.0
z8_valid,37050,58032,0.6384408602150538
z9_valid,41009,58032,0.7066618417424869
