gvkey,n_early,n_late,last_quarter,z_plus_early_mean,z_plus_late_mean,z_plus_delta,z_plus_renorm_early_mean,z_plus_renorm_late_mean,z_plus_renorm_delta,breadth_early_mean,breadth_late_mean,breadth_delta,z_mahalanobis_sq_early_mean,z_mahalanobis_sq_late_mean,z_mahalanobis_sq_delta,t_iut_early_mean,t_iut_late_mean,t_iut_delta,z_plus_softmax_early_mean,z_plus_softmax_late_mean,z_plus_softmax_delta,z_plus_orth_early_mean,z_plus_orth_late_mean,z_plus_orth_delta
1043,64,4,2020-Q4,1.8949621068374896,2.3579191014171546,0.4629569945796647,2.972026547548313,3.488608437042963,0.5165818894946499,0.625,0.6785714285714286,0.0535714285714286,,40.72857687321095,,-1.6633094714838257,-1.033341007176509,0.6299684643073165,5.504735888816111,5.906959986392184,0.4022240975760738,5.539201547760882,5.93072110060916,0.391519552848278
1061,86,4,2023-Q2,0.5706065059704885,0.9335955110686864,0.362989005098198,1.4739135400771968,1.6696042272270166,0.1956906871498198,0.3970099667774086,0.5714285714285714,0.1744186046511628,5.738859489756982,6.955142690130894,1.216283200373912,-2.110447464814394,-1.6565711207337446,0.4538763440806492,2.7201294502206346,3.3811817725107174,0.6610523222900828,2.7821384681523544,3.4363471342812915,0.654208666128937
1068,74,4,2019-Q1,2.216036893110501,2.4376870129099237,0.2216501197994218,3.234418874175772,3.1245960582667096,-0.1098228159090624,0.6833976833976834,0.7857142857142857,0.1023166023166023,44.94057135046676,42.40268436356798,-2.5378869868987834,-2.311726031727738,-1.0476636027142967,1.2640624290134412,5.819328923173862,5.899385846125483,0.0800569229516208,5.853311684267132,5.910230681660652,0.0569189973935193
1580,27,4,2009-Q2,0.581283392410313,0.2575317344335552,-0.3237516579767577,2.003427780958315,0.7766139658138187,-1.2268138151444965,0.3227513227513227,0.3571428571428571,0.0343915343915343,,,,-1.7570954806671848,-0.9420890494599418,0.815006431207243,2.929787562044228,1.001052891798684,-1.928734670245544,2.9710728449335315,1.0618601038564246,-1.909212741077107
1584,78,4,2020Q1,0.7910466191599568,1.3231718679933175,0.5321252488333608,1.7471771030746193,2.129429512948376,0.3822524098737561,0.3956043956043956,0.6071428571428571,0.2115384615384615,12.349201319832432,,,-1.8019433604419528,-2.37048112918669,-0.5685377687447368,2.877582111940668,4.962706038022598,2.0851239260819305,2.9228958251075614,5.022102380047718,2.0992065549401566
1788,33,4,2016-Q4,0.2456296104786807,0.1952228195183695,-0.0504067909603112,1.0878201750906775,0.8088764681704723,-0.2789437069202054,0.2294372294372294,0.25,0.0205627705627705,,,,-4.10550146001742,-3.236856130001478,0.868645330015942,1.341769846202009,0.8357690000686447,-0.5060008461333642,1.3878935167270454,0.8621298764216911,-0.5257636403053543
1791,55,4,2022-Q2,0.4601966059237033,0.2074828460852842,-0.252713759838419,1.8782051834836648,1.9365065634626533,0.0583013799789886,0.2597402597402597,0.1071428571428571,-0.1525974025974026,,,,-3.606186504784262,-3.531054842671193,0.0751316621130691,2.6797305901036816,1.9365065634626533,-0.7432240266410284,2.695417787834698,1.9365065634626533,-0.7589112243720446
1804,44,4,2020-Q3,0.4345728007328424,0.4180068247508967,-0.0165659759819457,2.054613993910389,0.8913163414178588,-1.1632976524925305,0.2045454545454544,0.4642857142857142,0.2597402597402597,,,,-3.428128307641457,-0.8183565750675019,2.6097717325739547,2.665298984509577,1.2965379840180855,-1.3687610004914914,2.6933898440654263,1.5171493522614607,-1.1762404918039655
1815,52,4,2021-Q3,0.1149566350165756,0.1290319857154817,0.014075350698906,0.8512907172842282,0.3868337065846131,-0.4644570106996151,0.1428571428571428,0.3214285714285714,0.1785714285714285,,,,-2.9493314935785007,-2.602489087568042,0.3468424060104587,0.9939134849706246,0.505865353921352,-0.4880481310492726,1.0028052022471723,0.5914951452984056,-0.4113100569487669
1820,46,4,2019-Q4,0.2747396846918311,0.1308766239403833,-0.1438630607514477,1.3121317612689989,0.940972368615292,-0.3711593926537068,0.2080745341614906,0.1428571428571428,-0.0652173913043477,,,,-4.069080315317805,-2.497186918545278,1.5718933967725266,1.527961602223763,1.0320374150658624,-0.4959241871579005,1.5422434241206155,1.0712282603891714,-0.4710151637314441
