debt_quartile,n_rows,median_debt_ratio,n_red,red_share
Q1 low debt,11322,0.0332335718792021,1742,0.1538597420950362
Q2,11321,0.1753610401310955,894,0.0789682890204045
Q3,11321,0.3359624295249144,650,0.0574154226658422
Q4 high debt,11322,0.5737239976989346,2483,0.2193075428369546
