atq_quartile,n_rows,median_atq,n_red,red_share
Q1 small,14375,34959.0,1549,0.1077565217391304
Q2,14377,434467.9374,1255,0.0872922028239549
Q3,14372,1761067.0762,1581,0.1100055663790704
Q4 large,14375,11700180.0,2480,0.1725217391304347
,533,,174,0.3264540337711069
