detector,n_valid,n_total,share_valid
z1_valid,38424,42878,0.8961238863752974
z2_valid,40896,42878,0.9537758290965064
z3_valid,31063,42878,0.7244507672932506
z4_valid,41315,42878,0.963547740099818
z5_valid,32732,42878,0.7633751574233872
z6_valid,38712,42878,0.9028406175661178
z7_valid,42878,42878,1.0
z8_valid,24551,42878,0.5725780120341434
z9_valid,28477,42878,0.6641401184756752
