debt_quartile,n_rows,median_debt_ratio,n_red,red_share
Q1 low debt,3295,0.005158310259824,426,0.1292867981790592
Q2,3294,0.0427355920758146,276,0.0837887067395264
Q3,3294,0.1064865766311982,257,0.078020643594414
Q4 high debt,3294,0.2776143664062802,389,0.1180935033394049
