facet,value,detector,n,mean,std
year,2005.0,z1,595,0.7205581362760045,2.435760007250298
year,2005.0,z2,609,-0.7247071255817258,2.2696941568992384
year,2005.0,z3,571,0.4824050969837122,1.1942009591855152
year,2005.0,z4,599,0.0764051282113063,1.0671081474659387
year,2005.0,z6,68,1.440308754668396,2.578015218741513
year,2005.0,z8,436,-0.0136467609917171,0.9814590209585464
year,2005.0,z57,578,-1.016637537969546,1.0544126116974737
year,2006.0,z1,567,0.5427009070642221,2.251123393112501
year,2006.0,z2,584,-0.3947996837735364,2.428851422762484
year,2006.0,z3,572,0.1722178628339878,1.020112869423206
year,2006.0,z4,580,-0.1809244658346622,1.033769744306304
year,2006.0,z6,543,2.678122521014662,2.649896273801412
year,2006.0,z8,427,0.0862350135047247,0.9366219640403644
year,2006.0,z57,583,0.0900462402968886,1.061306818062128
year,2007.0,z1,586,0.3537079250260304,2.0449066211752216
year,2007.0,z2,595,-0.181989514250897,2.415697341045479
year,2007.0,z3,581,-0.2023508591574213,0.9573551840830368
year,2007.0,z4,599,-0.1751177136734513,1.0326524823751766
year,2007.0,z6,574,1.1046692734229528,2.1278652052922564
year,2007.0,z8,450,-0.0515013398091824,1.0268551344044918
year,2007.0,z57,596,0.0899016244767271,1.0306919816016842
year,2008.0,z1,599,0.4280195819392688,2.1282383953152846
year,2008.0,z2,603,-0.1646178484235254,2.349037389314378
year,2008.0,z3,594,-0.1117041125362922,0.9614198701282436
year,2008.0,z4,606,-0.2365233047409695,1.0231640454124316
year,2008.0,z6,599,1.106499517401292,2.175847445984908
year,2008.0,z8,468,-0.1130204222479204,1.036196718811874
year,2008.0,z57,602,0.1580758215216428,1.147249717444079
year,2009.0,z1,567,0.3020526388810881,1.9013659084843395
year,2009.0,z2,574,-0.1245493994824182,2.4044814085307964
year,2009.0,z3,564,-0.3274259689883614,0.9822509446499682
year,2009.0,z4,576,-0.2388668102166939,1.0162767307696243
year,2009.0,z6,563,1.0226660758777086,2.119052535642372
year,2009.0,z8,452,-0.2786428016952454,1.0034758383636913
year,2009.0,z57,576,0.0632405675482278,0.998587587096607
year,2010.0,z1,600,0.3477362636298347,1.9404951019767305
year,2010.0,z2,604,0.336751998171713,2.359218239974118
year,2010.0,z3,595,-0.1475241671962911,0.9950731713037876
year,2010.0,z4,605,-0.2441974471529153,1.0505199076020375
year,2010.0,z6,595,1.1133134479997613,2.2189709533988573
year,2010.0,z8,445,-0.0205446094850213,1.0184230166632986
year,2010.0,z57,604,0.1561179019490439,1.0352680383315804
year,2011.0,z1,588,0.2846825172811451,1.8035466552319348
year,2011.0,z2,589,0.5569046320246464,2.1641969485464125
year,2011.0,z3,584,-0.0917937203044147,1.0051672516700076
year,2011.0,z4,589,-0.2063325349611819,1.04149787699888
year,2011.0,z6,584,1.3626490589544151,2.2928619027039736
year,2011.0,z8,444,0.0465788013406376,0.9723524395142744
year,2011.0,z57,589,0.186328901018601,1.042543399793297
year,2012.0,z1,588,0.3109928433876976,1.8336216786263249
year,2012.0,z2,588,0.4968831873316101,2.318291678128327
year,2012.0,z3,582,-0.0846647636297533,1.0103077409436674
year,2012.0,z4,590,-0.2194366779153695,1.0616314389883974
year,2012.0,z6,583,1.103016879293775,2.20014215399861
year,2012.0,z8,447,-0.0821423861137493,0.9625665834678198
year,2012.0,z57,589,0.2252943109702119,0.991411427913274
year,2013.0,z1,577,0.3671996280457311,1.7853473463855367
year,2013.0,z2,579,0.3757828074979267,2.353267888236602
year,2013.0,z3,574,-0.0374310487420807,1.001150908505804
year,2013.0,z4,579,-0.2643210261636388,1.0365983097770797
year,2013.0,z6,576,1.309594033303396,2.215234652481321
year,2013.0,z8,456,-0.0646275278851421,1.0178808734973546
year,2013.0,z57,579,0.1405890251340736,0.9635314782606088
year,2014.0,z1,585,0.3508345465645625,1.7189565571300405
year,2014.0,z2,589,0.3586521702558736,2.2538118034758945
year,2014.0,z3,579,-0.0257957107923794,0.9662644556946618
year,2014.0,z4,589,-0.2688538939157111,1.011020186165118
year,2014.0,z6,582,1.2412040362707897,2.1849773001406585
year,2014.0,z8,451,-0.0561058420474493,1.0261413647834592
year,2014.0,z57,588,0.1590634176204914,0.9866679358496584
year,2015.0,z1,595,0.2160053540882548,1.616464230751735
year,2015.0,z2,595,0.398819986369843,2.3188786692863834
year,2015.0,z3,588,-0.053682252225262,0.9734717516042164
year,2015.0,z4,595,-0.3049190004474321,1.0498675972633358
year,2015.0,z6,589,1.0794162628994448,2.1260731336354883
year,2015.0,z8,465,0.0202759977456669,1.0104560676502574
year,2015.0,z57,595,0.1573934891515777,1.179843073312768
year,2016.0,z1,593,0.3592041631357913,1.9169351284181355
year,2016.0,z2,593,0.2442013788979604,2.282092061977976
year,2016.0,z3,583,-0.0192721058154419,0.9426828944344594
year,2016.0,z4,593,-0.2997446301041163,1.024947142443514
year,2016.0,z6,586,1.098914446363489,2.21588447885806
year,2016.0,z8,471,0.0265100226632318,1.0394008255429947
year,2016.0,z57,593,0.1041291999096806,0.9815085638835728
