atq_quartile,n_rows,median_atq,n_red,red_share
Q1 small,22578,59.0385,534,0.0236513420143502
Q2,22577,168.781,412,0.0182486601408513
Q3,22578,446.95295,423,0.018735051820356
Q4 large,22577,1863.346,572,0.025335518447978
,2562,,836,0.3263075722092115
