debt_quartile,n_rows,median_debt_ratio,n_red,red_share
Q1 low debt,15793,0.0122435163805855,434,0.0274805293484455
Q2,15792,0.0730577323019062,165,0.0104483282674772
Q3,15792,0.1523801569317889,140,0.0088652482269503
Q4 high debt,15793,0.2913226458256795,589,0.0372950041157474
