archetype,delta,composite,alpha,n_finite,detection_rate
threshold_clustering,0.5,breadth,0.001,500,0.0
threshold_clustering,0.5,z_mahalanobis_sq,0.05,500,0.044
threshold_clustering,0.5,z_mahalanobis_sq,0.01,500,0.006
threshold_clustering,0.5,z_mahalanobis_sq,0.001,500,0.0
threshold_clustering,0.5,t_iut,0.05,500,0.052
threshold_clustering,0.5,t_iut,0.01,500,0.012
threshold_clustering,0.5,t_iut,0.001,500,0.002
threshold_clustering,0.5,z_plus_softmax,0.05,499,0.0200400801603206
threshold_clustering,0.5,z_plus_softmax,0.01,499,0.0120240480961923
threshold_clustering,0.5,z_plus_softmax,0.001,499,0.0040080160320641
threshold_clustering,0.5,z_plus_orth,0.05,499,0.0260521042084168
threshold_clustering,0.5,z_plus_orth,0.01,499,0.0120240480961923
threshold_clustering,0.5,z_plus_orth,0.001,499,0.0040080160320641
threshold_clustering,1.0,z_plus,0.05,500,0.112
threshold_clustering,1.0,z_plus,0.01,500,0.036
threshold_clustering,1.0,z_plus,0.001,500,0.01
threshold_clustering,1.0,z_plus_renorm,0.05,498,0.0481927710843373
threshold_clustering,1.0,z_plus_renorm,0.01,498,0.0040160642570281
threshold_clustering,1.0,z_plus_renorm,0.001,498,0.0
threshold_clustering,1.0,breadth,0.05,500,0.038
threshold_clustering,1.0,breadth,0.01,500,0.0
threshold_clustering,1.0,breadth,0.001,500,0.0
threshold_clustering,1.0,z_mahalanobis_sq,0.05,500,0.092
threshold_clustering,1.0,z_mahalanobis_sq,0.01,500,0.012
threshold_clustering,1.0,z_mahalanobis_sq,0.001,500,0.004
threshold_clustering,1.0,t_iut,0.05,500,0.108
threshold_clustering,1.0,t_iut,0.01,500,0.028
threshold_clustering,1.0,t_iut,0.001,500,0.006
threshold_clustering,1.0,z_plus_softmax,0.05,498,0.0321285140562249
threshold_clustering,1.0,z_plus_softmax,0.01,498,0.0060240963855421
threshold_clustering,1.0,z_plus_softmax,0.001,498,0.0040160642570281
threshold_clustering,1.0,z_plus_orth,0.05,498,0.0341365461847389
threshold_clustering,1.0,z_plus_orth,0.01,498,0.0060240963855421
threshold_clustering,1.0,z_plus_orth,0.001,498,0.0040160642570281
threshold_clustering,1.5,z_plus,0.05,500,0.138
threshold_clustering,1.5,z_plus,0.01,500,0.046
threshold_clustering,1.5,z_plus,0.001,500,0.01
threshold_clustering,1.5,z_plus_renorm,0.05,500,0.034
threshold_clustering,1.5,z_plus_renorm,0.01,500,0.004
threshold_clustering,1.5,z_plus_renorm,0.001,500,0.0
threshold_clustering,1.5,breadth,0.05,500,0.046
threshold_clustering,1.5,breadth,0.01,500,0.0
