composite,variant,n_finite,q500,q900,q950,q990,q999
z_plus,parametric,10000,0.528879470297197,1.082382959513598,1.2645441941915416,1.5951425367462315,2.041349090480101
z_plus_renorm,parametric,9905,1.077889577541821,1.9002140665418517,2.191877842182934,2.926917352682754,4.444587506831093
breadth,parametric,10000,0.4285714285714285,0.7142857142857143,0.8571428571428571,1.0,1.0
z_mahalanobis_sq,parametric,10000,6.329803929059846,12.0713396238463,13.914410567174334,18.19370987966113,24.392371263725494
t_iut,parametric,10000,-1.8843281457572063,-0.7225410896909489,-0.4626269108049342,0.0085064134842719,0.4627372059718702
z_plus_softmax,parametric,9905,1.4976259593452597,3.4475169806826225,4.274718925981087,5.823006737441591,7.473417514719257
z_plus_orth,parametric,9905,1.5565775426346051,3.525281618080278,4.33302778371544,5.863048938675677,7.47812521995125
z_plus,non_parametric,10000,0.5149505880918915,1.2835719304951063,1.5641526029138326,2.0671002139200567,2.62173478950905
z_plus_renorm,non_parametric,9925,1.0295112959799486,2.2682304452988467,2.671295226511257,3.775517513018909,5.997807019601637
breadth,non_parametric,10000,0.5714285714285714,0.7142857142857143,0.8571428571428571,1.0,1.0
z_mahalanobis_sq,non_parametric,10000,5.341967025330835,13.983894872624749,18.08126624750082,34.168481506821976,47.66223637517908
t_iut,non_parametric,10000,-1.5898154287854471,-0.654949917100686,-0.4415380390635178,0.0639379832948301,0.4632686610949097
z_plus_softmax,non_parametric,9925,1.3777389100138595,5.811925630084129,5.904328491994363,5.96159830613334,5.997807019601637
z_plus_orth,non_parametric,9925,1.4620091226173446,5.85955834464509,5.935974652977709,5.980170936993914,5.997807019601637
