gvkey,n_quarters,z_plus_lag1,z_plus_renorm_lag1,breadth_lag1,z_mahalanobis_sq_lag1,t_iut_lag1,z_plus_softmax_lag1,z_plus_orth_lag1
1,101,0.8535530604503726,0.8167518886295603,0.8089594919785544,-0.1434391398461329,0.4959056384740758,0.7647290265952753,0.7618039055496081
2,76,0.5976883433409924,0.4497052749551538,0.7193832118160858,-0.0270541068310985,0.6780305312560468,0.4784956105940136,0.4767439625713282
3,92,0.3930660463994678,0.3494401494905323,0.7390815846510936,-0.0672809013282214,0.8080712111472756,0.2324748163432379,0.2443368125773493
4,103,0.679880721668018,0.6303930176805476,0.6584404577221831,0.4400403891301952,0.7086087139575867,0.7024436804565515,0.7001792956248695
5,102,0.4575991825736972,0.6300807404221366,0.5197144211169706,0.3665469193104141,0.8457357634265535,0.543123115172851,0.5394272209983344
6,102,0.8234389269756576,0.7107046170464831,0.6955589498122889,0.8326529204858107,0.6062198484002878,0.8241217395922058,0.8230787027815066
7,102,0.704261135823725,0.4398842608082658,0.7302275145972029,0.6201957602749406,0.9560399755060268,0.5593058199840282,0.5635442794481262
8,86,0.4202302207610204,0.4257538777678382,0.4572581003071183,0.3884386115173739,0.5120999010407015,0.608663306797601,0.6135043631360209
14,27,0.9303206015602608,0.8550469305259926,0.8180739779938616,,0.7561715493469676,0.8906549828764402,0.8931024526883135
15,101,0.5808324690532122,0.4007181907841939,0.7777718710706819,0.4873989484491133,0.8959752235001762,0.2262601456872668,0.2417482034004106
16,41,0.5500842153498803,0.6255326465441395,0.4893849573713741,0.6858767512086232,0.942970715022418,0.6679310505327678,0.666972021278665
17,27,0.8756028714684113,0.747016571238003,0.8036381442179273,,0.8554473603334233,0.8266425042397071,0.8280292245693989
18,91,0.7055905546709073,0.5967310676462215,0.6812797655391363,0.4478025616346384,0.9591905126804317,0.5392701557407615,0.5391667910552543
19,89,0.5371702946467108,0.5201605231309939,0.6812131575757215,-0.0845173203820455,0.6438664116669256,0.4607857407780507,0.4814483850786041
20,102,0.5631794250174018,0.6736226954003393,0.6520293989287789,0.0522308867973217,0.4357608707713363,0.5693283863605848,0.5702689415904795
21,29,0.3677954554993678,0.4476325473715987,0.1739343509193628,,0.8262354835958591,0.4066479863186861,0.4066479863186861
22,83,0.4640639707089785,0.2689968207590661,0.7291243437064236,0.1534794099507817,0.9454548493989878,0.1584103642044981,0.1542916155955618
23,105,0.6795325337131568,0.4472166189795262,0.7243420699232745,0.5926358585793644,0.7973528343751756,0.7036124222460295,0.7024944109737757
24,27,0.5583627555100069,0.141341250378399,0.6924653036227241,,0.9124387093851214,0.3373216475448542,0.3490674052686484
25,102,0.8710833459536772,0.6781852174795475,0.7951403407283563,-0.0330000451198024,0.7670155477478561,0.964810654256516,0.9662472074161482
26,102,0.2776234419380705,0.0483636642977872,0.6752487155360544,0.0842410040056405,0.2881441204101878,-0.0285205974661805,-0.038006108496917
27,102,0.3931120219338723,0.3654433914179539,0.6883181348245504,0.0740213373399146,0.8051829287522154,0.2100681490185315,0.219551019009883
28,42,0.6979410950002126,0.5279166679578784,0.708301372156303,,0.9367056795373409,0.689688245570363,0.687968785275873
