composite,n_strict_rows,jaccard_top_n,share_of_full_top_n_in_strict,top_n
z_plus,81204,0.639344262295082,0.78,100
z_plus_renorm,77693,0.3245033112582781,0.49,100
breadth,81207,0.8181818181818182,0.9,100
z_mahalanobis_sq,52967,0.8691588785046729,0.93,100
t_iut,81204,0.8867924528301887,0.94,100
z_plus_softmax,77693,0.3245033112582781,0.49,100
z_plus_orth,77693,0.3422818791946309,0.51,100
