archetype,delta,composite,alpha,n_finite,detection_rate
threshold_clustering,0.5,z_mahalanobis_sq,0.05,500,0.07
threshold_clustering,0.5,z_mahalanobis_sq,0.01,500,0.022
threshold_clustering,0.5,z_mahalanobis_sq,0.001,500,0.004
threshold_clustering,0.5,t_iut,0.05,500,0.076
threshold_clustering,0.5,t_iut,0.01,500,0.01
threshold_clustering,0.5,t_iut,0.001,500,0.0
threshold_clustering,0.5,z_plus_softmax,0.05,497,0.0643863179074446
threshold_clustering,0.5,z_plus_softmax,0.01,497,0.0402414486921529
threshold_clustering,0.5,z_plus_softmax,0.001,497,0.028169014084507
threshold_clustering,0.5,z_plus_orth,0.05,497,0.062374245472837
threshold_clustering,0.5,z_plus_orth,0.01,497,0.028169014084507
threshold_clustering,0.5,z_plus_orth,0.001,497,0.028169014084507
threshold_clustering,1.0,z_plus,0.05,500,0.084
threshold_clustering,1.0,z_plus,0.01,500,0.02
threshold_clustering,1.0,z_plus,0.001,500,0.01
threshold_clustering,1.0,z_plus_renorm,0.05,498,0.0341365461847389
threshold_clustering,1.0,z_plus_renorm,0.01,498,0.0
threshold_clustering,1.0,z_plus_renorm,0.001,498,0.0
threshold_clustering,1.0,breadth,0.05,500,0.026
threshold_clustering,1.0,breadth,0.01,500,0.0
threshold_clustering,1.0,breadth,0.001,500,0.0
threshold_clustering,1.0,z_mahalanobis_sq,0.05,500,0.08
threshold_clustering,1.0,z_mahalanobis_sq,0.01,500,0.036
threshold_clustering,1.0,z_mahalanobis_sq,0.001,500,0.002
threshold_clustering,1.0,t_iut,0.05,500,0.092
threshold_clustering,1.0,t_iut,0.01,500,0.014
threshold_clustering,1.0,t_iut,0.001,500,0.006
threshold_clustering,1.0,z_plus_softmax,0.05,498,0.0461847389558232
threshold_clustering,1.0,z_plus_softmax,0.01,498,0.0281124497991967
threshold_clustering,1.0,z_plus_softmax,0.001,498,0.0281124497991967
threshold_clustering,1.0,z_plus_orth,0.05,498,0.0421686746987951
threshold_clustering,1.0,z_plus_orth,0.01,498,0.0281124497991967
threshold_clustering,1.0,z_plus_orth,0.001,498,0.0281124497991967
threshold_clustering,1.5,z_plus,0.05,500,0.092
threshold_clustering,1.5,z_plus,0.01,500,0.006
threshold_clustering,1.5,z_plus,0.001,500,0.002
threshold_clustering,1.5,z_plus_renorm,0.05,500,0.018
threshold_clustering,1.5,z_plus_renorm,0.01,500,0.0
threshold_clustering,1.5,z_plus_renorm,0.001,500,0.0
threshold_clustering,1.5,breadth,0.05,500,0.042
threshold_clustering,1.5,breadth,0.01,500,0.0
threshold_clustering,1.5,breadth,0.001,500,0.0
threshold_clustering,1.5,z_mahalanobis_sq,0.05,500,0.078
threshold_clustering,1.5,z_mahalanobis_sq,0.01,500,0.014
threshold_clustering,1.5,z_mahalanobis_sq,0.001,500,0.002
threshold_clustering,1.5,t_iut,0.05,500,0.134
threshold_clustering,1.5,t_iut,0.01,500,0.03
threshold_clustering,1.5,t_iut,0.001,500,0.016
threshold_clustering,1.5,z_plus_softmax,0.05,500,0.016
threshold_clustering,1.5,z_plus_softmax,0.01,500,0.014
threshold_clustering,1.5,z_plus_softmax,0.001,500,0.014
threshold_clustering,1.5,z_plus_orth,0.05,500,0.016
threshold_clustering,1.5,z_plus_orth,0.01,500,0.014
threshold_clustering,1.5,z_plus_orth,0.001,500,0.014
threshold_clustering,2.0,z_plus,0.05,500,0.146
threshold_clustering,2.0,z_plus,0.01,500,0.044
threshold_clustering,2.0,z_plus,0.001,500,0.02
threshold_clustering,2.0,z_plus_renorm,0.05,500,0.044
threshold_clustering,2.0,z_plus_renorm,0.01,500,0.01
threshold_clustering,2.0,z_plus_renorm,0.001,500,0.0
threshold_clustering,2.0,breadth,0.05,500,0.032
threshold_clustering,2.0,breadth,0.01,500,0.0
threshold_clustering,2.0,breadth,0.001,500,0.0
threshold_clustering,2.0,z_mahalanobis_sq,0.05,500,0.188
threshold_clustering,2.0,z_mahalanobis_sq,0.01,500,0.034
threshold_clustering,2.0,z_mahalanobis_sq,0.001,500,0.008
threshold_clustering,2.0,t_iut,0.05,500,0.108
threshold_clustering,2.0,t_iut,0.01,500,0.024
threshold_clustering,2.0,t_iut,0.001,500,0.01
threshold_clustering,2.0,z_plus_softmax,0.05,500,0.024
threshold_clustering,2.0,z_plus_softmax,0.01,500,0.016
threshold_clustering,2.0,z_plus_softmax,0.001,500,0.016
threshold_clustering,2.0,z_plus_orth,0.05,500,0.016
threshold_clustering,2.0,z_plus_orth,0.01,500,0.016
threshold_clustering,2.0,z_plus_orth,0.001,500,0.016
threshold_clustering,3.0,z_plus,0.05,500,0.298
threshold_clustering,3.0,z_plus,0.01,500,0.094
