archetype,delta,detector,alpha,n_finite,flag_rate
threshold_clustering,0.5,z6,0.001,500,0.26
threshold_clustering,0.5,z8,0.05,500,0.072
threshold_clustering,0.5,z8,0.01,500,0.012
threshold_clustering,0.5,z8,0.001,500,0.0
threshold_clustering,0.5,z57,0.05,500,0.108
threshold_clustering,0.5,z57,0.01,500,0.038
threshold_clustering,0.5,z57,0.001,500,0.024
threshold_clustering,1.0,z1,0.05,500,0.03
threshold_clustering,1.0,z1,0.01,500,0.03
threshold_clustering,1.0,z1,0.001,500,0.03
threshold_clustering,1.0,z2,0.05,500,0.196
threshold_clustering,1.0,z2,0.01,500,0.138
threshold_clustering,1.0,z2,0.001,500,0.106
threshold_clustering,1.0,z3,0.05,500,0.036
threshold_clustering,1.0,z3,0.01,500,0.02
threshold_clustering,1.0,z3,0.001,500,0.006
threshold_clustering,1.0,z4,0.05,500,0.206
threshold_clustering,1.0,z4,0.01,500,0.084
threshold_clustering,1.0,z4,0.001,500,0.01
threshold_clustering,1.0,z6,0.05,500,0.412
threshold_clustering,1.0,z6,0.01,500,0.338
threshold_clustering,1.0,z6,0.001,500,0.264
threshold_clustering,1.0,z8,0.05,500,0.052
threshold_clustering,1.0,z8,0.01,500,0.014
threshold_clustering,1.0,z8,0.001,500,0.002
threshold_clustering,1.0,z57,0.05,500,0.264
threshold_clustering,1.0,z57,0.01,500,0.072
threshold_clustering,1.0,z57,0.001,500,0.026
threshold_clustering,1.5,z1,0.05,500,0.022
threshold_clustering,1.5,z1,0.01,500,0.022
threshold_clustering,1.5,z1,0.001,500,0.022
threshold_clustering,1.5,z2,0.05,500,0.198
threshold_clustering,1.5,z2,0.01,500,0.128
threshold_clustering,1.5,z2,0.001,500,0.092
threshold_clustering,1.5,z3,0.05,500,0.026
threshold_clustering,1.5,z3,0.01,500,0.002
threshold_clustering,1.5,z3,0.001,500,0.0
threshold_clustering,1.5,z4,0.05,500,0.382
threshold_clustering,1.5,z4,0.01,500,0.186
threshold_clustering,1.5,z4,0.001,500,0.056
threshold_clustering,1.5,z6,0.05,500,0.402
threshold_clustering,1.5,z6,0.01,500,0.316
threshold_clustering,1.5,z6,0.001,500,0.232
threshold_clustering,1.5,z8,0.05,500,0.07
threshold_clustering,1.5,z8,0.01,500,0.018
threshold_clustering,1.5,z8,0.001,500,0.0
threshold_clustering,1.5,z57,0.05,500,0.412
threshold_clustering,1.5,z57,0.01,500,0.162
threshold_clustering,1.5,z57,0.001,500,0.038
threshold_clustering,2.0,z1,0.05,500,0.048
threshold_clustering,2.0,z1,0.01,500,0.048
threshold_clustering,2.0,z1,0.001,500,0.048
threshold_clustering,2.0,z2,0.05,500,0.182
threshold_clustering,2.0,z2,0.01,500,0.13
threshold_clustering,2.0,z2,0.001,500,0.082
threshold_clustering,2.0,z3,0.05,500,0.036
threshold_clustering,2.0,z3,0.01,500,0.006
threshold_clustering,2.0,z3,0.001,500,0.0
threshold_clustering,2.0,z4,0.05,500,0.54
threshold_clustering,2.0,z4,0.01,500,0.296
threshold_clustering,2.0,z4,0.001,500,0.122
threshold_clustering,2.0,z6,0.05,500,0.436
threshold_clustering,2.0,z6,0.01,500,0.346
threshold_clustering,2.0,z6,0.001,500,0.27
threshold_clustering,2.0,z8,0.05,500,0.048
threshold_clustering,2.0,z8,0.01,500,0.008
threshold_clustering,2.0,z8,0.001,500,0.0
threshold_clustering,2.0,z57,0.05,500,0.66
threshold_clustering,2.0,z57,0.01,500,0.366
threshold_clustering,2.0,z57,0.001,500,0.106
threshold_clustering,3.0,z1,0.05,500,0.032
threshold_clustering,3.0,z1,0.01,500,0.032
threshold_clustering,3.0,z1,0.001,500,0.032
threshold_clustering,3.0,z2,0.05,500,0.218
threshold_clustering,3.0,z2,0.01,500,0.144
threshold_clustering,3.0,z2,0.001,500,0.096
threshold_clustering,3.0,z3,0.05,500,0.028
threshold_clustering,3.0,z3,0.01,500,0.004
threshold_clustering,3.0,z3,0.001,500,0.0
threshold_clustering,3.0,z4,0.05,500,0.94
threshold_clustering,3.0,z4,0.01,500,0.736
threshold_clustering,3.0,z4,0.001,500,0.436
threshold_clustering,3.0,z6,0.05,500,0.474
threshold_clustering,3.0,z6,0.01,500,0.38
threshold_clustering,3.0,z6,0.001,500,0.312
threshold_clustering,3.0,z8,0.05,500,0.06
threshold_clustering,3.0,z8,0.01,500,0.002
threshold_clustering,3.0,z8,0.001,500,0.0
threshold_clustering,3.0,z57,0.05,500,0.93
threshold_clustering,3.0,z57,0.01,500,0.764
threshold_clustering,3.0,z57,0.001,500,0.444
round_number,0.5,z1,0.05,500,0.114
round_number,0.5,z1,0.01,500,0.038
round_number,0.5,z1,0.001,500,0.038
round_number,0.5,z2,0.05,500,0.276
round_number,0.5,z2,0.01,500,0.208
round_number,0.5,z2,0.001,500,0.138
round_number,0.5,z3,0.05,500,0.058
round_number,0.5,z3,0.01,500,0.018
round_number,0.5,z3,0.001,500,0.002
round_number,0.5,z4,0.05,500,0.026
round_number,0.5,z4,0.01,500,0.006
round_number,0.5,z4,0.001,500,0.004
round_number,0.5,z6,0.05,500,0.406
round_number,0.5,z6,0.01,500,0.306
round_number,0.5,z6,0.001,500,0.224
round_number,0.5,z8,0.05,500,0.054
round_number,0.5,z8,0.01,500,0.004
round_number,0.5,z8,0.001,500,0.0
round_number,0.5,z57,0.05,500,0.038
round_number,0.5,z57,0.01,500,0.014
round_number,0.5,z57,0.001,500,0.014
round_number,1.0,z1,0.05,500,0.232
round_number,1.0,z1,0.01,500,0.086
round_number,1.0,z1,0.001,500,0.03
round_number,1.0,z2,0.05,500,0.332
round_number,1.0,z2,0.01,500,0.256
round_number,1.0,z2,0.001,500,0.158
round_number,1.0,z3,0.05,500,0.038
round_number,1.0,z3,0.01,500,0.002
round_number,1.0,z3,0.001,500,0.0
round_number,1.0,z4,0.05,500,0.034
round_number,1.0,z4,0.01,500,0.002
round_number,1.0,z4,0.001,500,0.0
round_number,1.0,z6,0.05,500,0.414
round_number,1.0,z6,0.01,500,0.326
round_number,1.0,z6,0.001,500,0.238
round_number,1.0,z8,0.05,500,0.058
round_number,1.0,z8,0.01,500,0.014
round_number,1.0,z8,0.001,500,0.002
round_number,1.0,z57,0.05,500,0.046
round_number,1.0,z57,0.01,500,0.024
round_number,1.0,z57,0.001,500,0.024
round_number,1.5,z1,0.05,500,0.384
round_number,1.5,z1,0.01,500,0.176
round_number,1.5,z1,0.001,500,0.026
round_number,1.5,z2,0.05,500,0.396
round_number,1.5,z2,0.01,500,0.334
round_number,1.5,z2,0.001,500,0.238
round_number,1.5,z3,0.05,500,0.038
round_number,1.5,z3,0.01,500,0.02
round_number,1.5,z3,0.001,500,0.0
round_number,1.5,z4,0.05,500,0.032
round_number,1.5,z4,0.01,500,0.006
round_number,1.5,z4,0.001,500,0.002
round_number,1.5,z6,0.05,500,0.394
round_number,1.5,z6,0.01,500,0.336
round_number,1.5,z6,0.001,500,0.256
round_number,1.5,z8,0.05,500,0.046
round_number,1.5,z8,0.01,500,0.008
round_number,1.5,z8,0.001,500,0.002
round_number,1.5,z57,0.05,500,0.032
round_number,1.5,z57,0.01,500,0.016
round_number,1.5,z57,0.001,500,0.016
round_number,2.0,z1,0.05,500,0.588
round_number,2.0,z1,0.01,500,0.322
round_number,2.0,z1,0.001,500,0.104
round_number,2.0,z2,0.05,500,0.522
round_number,2.0,z2,0.01,500,0.398
round_number,2.0,z2,0.001,500,0.302
round_number,2.0,z3,0.05,500,0.04
round_number,2.0,z3,0.01,500,0.012
round_number,2.0,z3,0.001,500,0.0
round_number,2.0,z4,0.05,500,0.026
round_number,2.0,z4,0.01,500,0.004
round_number,2.0,z4,0.001,500,0.0
round_number,2.0,z6,0.05,500,0.452
round_number,2.0,z6,0.01,500,0.362
round_number,2.0,z6,0.001,500,0.288
round_number,2.0,z8,0.05,500,0.054
round_number,2.0,z8,0.01,500,0.018
round_number,2.0,z8,0.001,500,0.004
round_number,2.0,z57,0.05,500,0.034
round_number,2.0,z57,0.01,500,0.012
round_number,2.0,z57,0.001,500,0.012
round_number,3.0,z1,0.05,500,0.886
round_number,3.0,z1,0.01,500,0.68
round_number,3.0,z1,0.001,500,0.45
round_number,3.0,z2,0.05,500,0.688
round_number,3.0,z2,0.01,500,0.57
round_number,3.0,z2,0.001,500,0.418
round_number,3.0,z3,0.05,500,0.044
round_number,3.0,z3,0.01,500,0.008
round_number,3.0,z3,0.001,500,0.002
round_number,3.0,z4,0.05,500,0.036
round_number,3.0,z4,0.01,500,0.002
round_number,3.0,z4,0.001,500,0.0
round_number,3.0,z6,0.05,500,0.444
round_number,3.0,z6,0.01,500,0.348
round_number,3.0,z6,0.001,500,0.284
round_number,3.0,z8,0.05,500,0.048
round_number,3.0,z8,0.01,500,0.016
round_number,3.0,z8,0.001,500,0.004
round_number,3.0,z57,0.05,500,0.028
round_number,3.0,z57,0.01,500,0.016
round_number,3.0,z57,0.001,500,0.016
temporal_smoothing,0.5,z1,0.05,500,0.018
temporal_smoothing,0.5,z1,0.01,500,0.018
temporal_smoothing,0.5,z1,0.001,500,0.018
temporal_smoothing,0.5,z2,0.05,500,0.208
