composite,variant,n_finite,q500,q900,q950,q990,q999
z_plus,parametric,10000,0.5579898707141207,1.1216056489104893,1.3075696502882397,1.651067663310706,2.1253834371572355
z_plus_renorm,parametric,9929,1.1361021583820226,1.992760886633591,2.31800680410183,3.1069210790585315,4.387652039440934
breadth,parametric,10000,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0
z_mahalanobis_sq,parametric,10000,6.329803929059846,12.0713396238463,13.914410567174338,18.19370987966113,24.39237126372549
t_iut,parametric,10000,-1.988092874768355,-0.7816378002668035,-0.499514449194637,-0.0149235784277146,0.4268295745839455
z_plus_softmax,parametric,9929,1.5932780860626503,3.635388607866064,4.45145075812438,5.938324651750516,7.497009048752198
z_plus_orth,parametric,9929,1.6574540826956463,3.720419550563072,4.511824249011897,5.9741449153144535,7.516187986206716
z_plus,non_parametric,10000,0.5234772209310069,1.28001105058931,1.514806333798416,2.1699621266063724,3.4925186593859605
z_plus_renorm,non_parametric,9918,1.08172184172278,2.5253178598163117,3.1406205318429943,4.057251169846367,5.782189472789466
breadth,non_parametric,10000,0.4285714285714285,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0
z_mahalanobis_sq,non_parametric,10000,5.123710092568989,13.990829800572634,16.626334558999655,32.63672509443818,41.32324710017362
t_iut,non_parametric,10000,-1.529205158322219,-0.7130635205548607,-0.4423372198175174,-0.0365124064274065,0.4793067370120146
z_plus_softmax,non_parametric,9918,1.512360250465581,5.906757990496221,5.945876368583498,5.97748161532231,5.979964649014409
z_plus_orth,non_parametric,9918,1.570731708410664,5.935229806349278,5.960261661804401,5.979964649014409,5.99697098976482
