detector,n_valid,n_total,share_valid
z1_valid,10618,11499,0.923384642142795
z2_valid,11281,11499,0.981041829724324
z3_valid,8901,11499,0.774067310200887
z4_valid,10950,11499,0.9522567179754762
z5_valid,8901,11499,0.774067310200887
z6_valid,10035,11499,0.8726845812679364
z7_valid,10037,11499,0.8728585094356031
z8_valid,6122,11499,0.5323941212279328
z9_valid,6904,11499,0.6004000347856335
