year,sukuk_outstanding_Bn_SAR,bonds_outstanding_Bn_SAR,total_corporate_debt_Bn_SAR,R_t,sukuk_status,sukuk_source
2021,438.835,22.535,461.37,0.951156,OBSERVED_PRIMARY_LISTED_MARKET_PROXY,"Listed-market proxy only: total listed Sukuk/Bonds issuance size observed from Saudi Exchange/Tadawul annual reporting; conventional component treated as the listed FRN block (SAR 22.535bn) visible in the 2025 Saudi Exchange Sukuk/Bonds list; sukuk = total - FRNs. This is not a full corporate listed + unlisted stock split. Total source: Saudi Tadawul Group Annual Report 2024 for 2021-2024 (reported Sukuk/Bonds issuance sizes), Saudi Exchange Sukuk/Bonds Annual Report 2025 for 2025. 2025 source: https://www.saudiexchange.sa/Resources/Reports-v2/FI_Annually_en.html"
2022,502.782,22.535,525.317,0.957102,OBSERVED_PRIMARY_LISTED_MARKET_PROXY,"Listed-market proxy only: total listed Sukuk/Bonds issuance size observed from Saudi Exchange/Tadawul annual reporting; conventional component treated as the listed FRN block (SAR 22.535bn) visible in the 2025 Saudi Exchange Sukuk/Bonds list; sukuk = total - FRNs. This is not a full corporate listed + unlisted stock split. Total source: Saudi Tadawul Group Annual Report 2024 for 2021-2024 (reported Sukuk/Bonds issuance sizes), Saudi Exchange Sukuk/Bonds Annual Report 2025 for 2025. 2025 source: https://www.saudiexchange.sa/Resources/Reports-v2/FI_Annually_en.html"
2023,527.308,22.535,549.843,0.959016,OBSERVED_PRIMARY_LISTED_MARKET_PROXY,"Listed-market proxy only: total listed Sukuk/Bonds issuance size observed from Saudi Exchange/Tadawul annual reporting; conventional component treated as the listed FRN block (SAR 22.535bn) visible in the 2025 Saudi Exchange Sukuk/Bonds list; sukuk = total - FRNs. This is not a full corporate listed + unlisted stock split. Total source: Saudi Tadawul Group Annual Report 2024 for 2021-2024 (reported Sukuk/Bonds issuance sizes), Saudi Exchange Sukuk/Bonds Annual Report 2025 for 2025. 2025 source: https://www.saudiexchange.sa/Resources/Reports-v2/FI_Annually_en.html"
2024,610.975,22.535,633.51,0.964428,OBSERVED_PRIMARY_LISTED_MARKET_PROXY,"Listed-market proxy only: total listed Sukuk/Bonds issuance size observed from Saudi Exchange/Tadawul annual reporting; conventional component treated as the listed FRN block (SAR 22.535bn) visible in the 2025 Saudi Exchange Sukuk/Bonds list; sukuk = total - FRNs. This is not a full corporate listed + unlisted stock split. Total source: Saudi Tadawul Group Annual Report 2024 for 2021-2024 (reported Sukuk/Bonds issuance sizes), Saudi Exchange Sukuk/Bonds Annual Report 2025 for 2025. 2025 source: https://www.saudiexchange.sa/Resources/Reports-v2/FI_Annually_en.html"
2025,690.922,22.535,713.457,0.968414,OBSERVED_PRIMARY_LISTED_MARKET_PROXY,"Listed-market proxy only: total listed Sukuk/Bonds issuance size observed from Saudi Exchange/Tadawul annual reporting; conventional component treated as the listed FRN block (SAR 22.535bn) visible in the 2025 Saudi Exchange Sukuk/Bonds list; sukuk = total - FRNs. This is not a full corporate listed + unlisted stock split. Total source: Saudi Tadawul Group Annual Report 2024 for 2021-2024 (reported Sukuk/Bonds issuance sizes), Saudi Exchange Sukuk/Bonds Annual Report 2025 for 2025. 2025 source: https://www.saudiexchange.sa/Resources/Reports-v2/FI_Annually_en.html"
