archetype,delta,detector,alpha,n_finite,flag_rate
threshold_clustering,0.5,z6,0.001,500,0.164
threshold_clustering,0.5,z8,0.05,500,0.034
threshold_clustering,0.5,z8,0.01,500,0.012
threshold_clustering,0.5,z8,0.001,500,0.002
threshold_clustering,0.5,z57,0.05,500,0.12
threshold_clustering,0.5,z57,0.01,500,0.026
threshold_clustering,0.5,z57,0.001,500,0.01
threshold_clustering,1.0,z1,0.05,500,0.026
threshold_clustering,1.0,z1,0.01,500,0.026
threshold_clustering,1.0,z1,0.001,500,0.026
threshold_clustering,1.0,z2,0.05,500,0.268
threshold_clustering,1.0,z2,0.01,500,0.194
threshold_clustering,1.0,z2,0.001,500,0.126
threshold_clustering,1.0,z3,0.05,500,0.028
threshold_clustering,1.0,z3,0.01,500,0.004
threshold_clustering,1.0,z3,0.001,500,0.0
threshold_clustering,1.0,z4,0.05,500,0.246
threshold_clustering,1.0,z4,0.01,500,0.112
threshold_clustering,1.0,z4,0.001,500,0.012
threshold_clustering,1.0,z6,0.05,500,0.23
threshold_clustering,1.0,z6,0.01,500,0.138
threshold_clustering,1.0,z6,0.001,500,0.092
threshold_clustering,1.0,z8,0.05,500,0.052
threshold_clustering,1.0,z8,0.01,500,0.01
threshold_clustering,1.0,z8,0.001,500,0.0
threshold_clustering,1.0,z57,0.05,500,0.234
threshold_clustering,1.0,z57,0.01,500,0.09
threshold_clustering,1.0,z57,0.001,500,0.016
threshold_clustering,1.5,z1,0.05,500,0.036
threshold_clustering,1.5,z1,0.01,500,0.036
threshold_clustering,1.5,z1,0.001,500,0.036
threshold_clustering,1.5,z2,0.05,500,0.248
threshold_clustering,1.5,z2,0.01,500,0.174
threshold_clustering,1.5,z2,0.001,500,0.122
threshold_clustering,1.5,z3,0.05,500,0.034
threshold_clustering,1.5,z3,0.01,500,0.004
threshold_clustering,1.5,z3,0.001,500,0.0
threshold_clustering,1.5,z4,0.05,500,0.462
threshold_clustering,1.5,z4,0.01,500,0.194
threshold_clustering,1.5,z4,0.001,500,0.064
threshold_clustering,1.5,z6,0.05,500,0.282
threshold_clustering,1.5,z6,0.01,500,0.212
threshold_clustering,1.5,z6,0.001,500,0.152
threshold_clustering,1.5,z8,0.05,500,0.048
threshold_clustering,1.5,z8,0.01,500,0.01
threshold_clustering,1.5,z8,0.001,500,0.0
threshold_clustering,1.5,z57,0.05,500,0.39
threshold_clustering,1.5,z57,0.01,500,0.166
threshold_clustering,1.5,z57,0.001,500,0.032
threshold_clustering,2.0,z1,0.05,500,0.048
threshold_clustering,2.0,z1,0.01,500,0.048
threshold_clustering,2.0,z1,0.001,500,0.048
threshold_clustering,2.0,z2,0.05,500,0.222
threshold_clustering,2.0,z2,0.01,500,0.172
threshold_clustering,2.0,z2,0.001,500,0.104
threshold_clustering,2.0,z3,0.05,500,0.036
threshold_clustering,2.0,z3,0.01,500,0.008
threshold_clustering,2.0,z3,0.001,500,0.002
threshold_clustering,2.0,z4,0.05,500,0.62
threshold_clustering,2.0,z4,0.01,500,0.374
threshold_clustering,2.0,z4,0.001,500,0.13
threshold_clustering,2.0,z6,0.05,500,0.298
threshold_clustering,2.0,z6,0.01,500,0.222
threshold_clustering,2.0,z6,0.001,500,0.154
threshold_clustering,2.0,z8,0.05,500,0.044
threshold_clustering,2.0,z8,0.01,500,0.006
threshold_clustering,2.0,z8,0.001,500,0.0
threshold_clustering,2.0,z57,0.05,500,0.65
threshold_clustering,2.0,z57,0.01,500,0.366
threshold_clustering,2.0,z57,0.001,500,0.124
threshold_clustering,3.0,z1,0.05,500,0.04
threshold_clustering,3.0,z1,0.01,500,0.04
threshold_clustering,3.0,z1,0.001,500,0.04
threshold_clustering,3.0,z2,0.05,500,0.258
threshold_clustering,3.0,z2,0.01,500,0.19
threshold_clustering,3.0,z2,0.001,500,0.138
threshold_clustering,3.0,z3,0.05,500,0.048
threshold_clustering,3.0,z3,0.01,500,0.004
threshold_clustering,3.0,z3,0.001,500,0.002
threshold_clustering,3.0,z4,0.05,500,0.902
threshold_clustering,3.0,z4,0.01,500,0.774
threshold_clustering,3.0,z4,0.001,500,0.492
threshold_clustering,3.0,z6,0.05,500,0.308
threshold_clustering,3.0,z6,0.01,500,0.24
threshold_clustering,3.0,z6,0.001,500,0.186
threshold_clustering,3.0,z8,0.05,500,0.034
threshold_clustering,3.0,z8,0.01,500,0.012
threshold_clustering,3.0,z8,0.001,500,0.0
threshold_clustering,3.0,z57,0.05,500,0.94
