archetype,delta,composite,alpha,n_finite,detection_rate
threshold_clustering,0.5,z_mahalanobis_sq,0.01,500,0.01
threshold_clustering,0.5,z_mahalanobis_sq,0.001,500,0.002
threshold_clustering,0.5,t_iut,0.05,500,0.082
threshold_clustering,0.5,t_iut,0.01,500,0.018
threshold_clustering,0.5,t_iut,0.001,500,0.002
threshold_clustering,0.5,z_plus_softmax,0.05,498,0.0321285140562249
threshold_clustering,0.5,z_plus_softmax,0.01,498,0.0120481927710843
threshold_clustering,0.5,z_plus_softmax,0.001,498,0.0100401606425702
threshold_clustering,0.5,z_plus_orth,0.05,498,0.0341365461847389
threshold_clustering,0.5,z_plus_orth,0.01,498,0.0140562248995983
threshold_clustering,0.5,z_plus_orth,0.001,498,0.0100401606425702
threshold_clustering,1.0,z_plus,0.05,500,0.06
threshold_clustering,1.0,z_plus,0.01,500,0.008
threshold_clustering,1.0,z_plus,0.001,500,0.002
threshold_clustering,1.0,z_plus_renorm,0.05,500,0.024
threshold_clustering,1.0,z_plus_renorm,0.01,500,0.0
threshold_clustering,1.0,z_plus_renorm,0.001,500,0.0
threshold_clustering,1.0,breadth,0.05,500,0.032
threshold_clustering,1.0,breadth,0.01,500,0.0
threshold_clustering,1.0,breadth,0.001,500,0.0
threshold_clustering,1.0,z_mahalanobis_sq,0.05,500,0.066
threshold_clustering,1.0,z_mahalanobis_sq,0.01,500,0.012
threshold_clustering,1.0,z_mahalanobis_sq,0.001,500,0.006
threshold_clustering,1.0,t_iut,0.05,500,0.088
threshold_clustering,1.0,t_iut,0.01,500,0.024
threshold_clustering,1.0,t_iut,0.001,500,0.002
threshold_clustering,1.0,z_plus_softmax,0.05,500,0.02
threshold_clustering,1.0,z_plus_softmax,0.01,500,0.014
threshold_clustering,1.0,z_plus_softmax,0.001,500,0.01
threshold_clustering,1.0,z_plus_orth,0.05,500,0.018
threshold_clustering,1.0,z_plus_orth,0.01,500,0.012
threshold_clustering,1.0,z_plus_orth,0.001,500,0.01
threshold_clustering,1.5,z_plus,0.05,500,0.106
threshold_clustering,1.5,z_plus,0.01,500,0.024
threshold_clustering,1.5,z_plus,0.001,500,0.002
threshold_clustering,1.5,z_plus_renorm,0.05,500,0.054
threshold_clustering,1.5,z_plus_renorm,0.01,500,0.004
threshold_clustering,1.5,z_plus_renorm,0.001,500,0.0
threshold_clustering,1.5,breadth,0.05,500,0.034
threshold_clustering,1.5,breadth,0.01,500,0.0
threshold_clustering,1.5,breadth,0.001,500,0.0
threshold_clustering,1.5,z_mahalanobis_sq,0.05,500,0.102
threshold_clustering,1.5,z_mahalanobis_sq,0.01,500,0.01
threshold_clustering,1.5,z_mahalanobis_sq,0.001,500,0.008
threshold_clustering,1.5,t_iut,0.05,500,0.106
threshold_clustering,1.5,t_iut,0.01,500,0.03
threshold_clustering,1.5,t_iut,0.001,500,0.01
threshold_clustering,1.5,z_plus_softmax,0.05,500,0.02
threshold_clustering,1.5,z_plus_softmax,0.01,500,0.008
threshold_clustering,1.5,z_plus_softmax,0.001,500,0.008
threshold_clustering,1.5,z_plus_orth,0.05,500,0.018
threshold_clustering,1.5,z_plus_orth,0.01,500,0.008
threshold_clustering,1.5,z_plus_orth,0.001,500,0.008
threshold_clustering,2.0,z_plus,0.05,500,0.16
threshold_clustering,2.0,z_plus,0.01,500,0.044
threshold_clustering,2.0,z_plus,0.001,500,0.004
threshold_clustering,2.0,z_plus_renorm,0.05,500,0.084
threshold_clustering,2.0,z_plus_renorm,0.01,500,0.004
threshold_clustering,2.0,z_plus_renorm,0.001,500,0.0
threshold_clustering,2.0,breadth,0.05,500,0.044
threshold_clustering,2.0,breadth,0.01,500,0.0
threshold_clustering,2.0,breadth,0.001,500,0.0
threshold_clustering,2.0,z_mahalanobis_sq,0.05,500,0.22
threshold_clustering,2.0,z_mahalanobis_sq,0.01,500,0.018
threshold_clustering,2.0,z_mahalanobis_sq,0.001,500,0.018
threshold_clustering,2.0,t_iut,0.05,500,0.13
threshold_clustering,2.0,t_iut,0.01,500,0.034
threshold_clustering,2.0,t_iut,0.001,500,0.008
threshold_clustering,2.0,z_plus_softmax,0.05,500,0.018
threshold_clustering,2.0,z_plus_softmax,0.01,500,0.018
threshold_clustering,2.0,z_plus_softmax,0.001,500,0.018
threshold_clustering,2.0,z_plus_orth,0.05,500,0.018
threshold_clustering,2.0,z_plus_orth,0.01,500,0.018
threshold_clustering,2.0,z_plus_orth,0.001,500,0.018
threshold_clustering,3.0,z_plus,0.05,500,0.354
threshold_clustering,3.0,z_plus,0.01,500,0.122
threshold_clustering,3.0,z_plus,0.001,500,0.024
threshold_clustering,3.0,z_plus_renorm,0.05,500,0.202
threshold_clustering,3.0,z_plus_renorm,0.01,500,0.026
threshold_clustering,3.0,z_plus_renorm,0.001,500,0.0
threshold_clustering,3.0,breadth,0.05,500,0.046
threshold_clustering,3.0,breadth,0.01,500,0.0
threshold_clustering,3.0,breadth,0.001,500,0.0
threshold_clustering,3.0,z_mahalanobis_sq,0.05,500,0.706
threshold_clustering,3.0,z_mahalanobis_sq,0.01,500,0.146
threshold_clustering,3.0,z_mahalanobis_sq,0.001,500,0.02
threshold_clustering,3.0,t_iut,0.05,500,0.12
threshold_clustering,3.0,t_iut,0.01,500,0.042
threshold_clustering,3.0,t_iut,0.001,500,0.006
threshold_clustering,3.0,z_plus_softmax,0.05,500,0.016
threshold_clustering,3.0,z_plus_softmax,0.01,500,0.016
threshold_clustering,3.0,z_plus_softmax,0.001,500,0.016
threshold_clustering,3.0,z_plus_orth,0.05,500,0.016
threshold_clustering,3.0,z_plus_orth,0.01,500,0.016
threshold_clustering,3.0,z_plus_orth,0.001,500,0.016
round_number,0.5,z_plus,0.05,500,0.056
round_number,0.5,z_plus,0.01,500,0.014
round_number,0.5,z_plus,0.001,500,0.002
round_number,0.5,z_plus_renorm,0.05,499,0.0541082164328657
round_number,0.5,z_plus_renorm,0.01,499,0.0120240480961923
round_number,0.5,z_plus_renorm,0.001,499,0.002004008016032
round_number,0.5,breadth,0.05,500,0.006
round_number,0.5,breadth,0.01,500,0.0
round_number,0.5,breadth,0.001,500,0.0
round_number,0.5,z_mahalanobis_sq,0.05,500,0.064
round_number,0.5,z_mahalanobis_sq,0.01,500,0.014
round_number,0.5,z_mahalanobis_sq,0.001,500,0.002
round_number,0.5,t_iut,0.05,500,0.052
round_number,0.5,t_iut,0.01,500,0.006
round_number,0.5,t_iut,0.001,500,0.0
round_number,0.5,z_plus_softmax,0.05,499,0.0721442885771543
round_number,0.5,z_plus_softmax,0.01,499,0.0581162324649298
round_number,0.5,z_plus_softmax,0.001,499,0.0561122244488977
round_number,0.5,z_plus_orth,0.05,499,0.0701402805611222
round_number,0.5,z_plus_orth,0.01,499,0.0581162324649298
round_number,0.5,z_plus_orth,0.001,499,0.0561122244488977
round_number,1.0,z_plus,0.05,500,0.066
round_number,1.0,z_plus,0.01,500,0.01
round_number,1.0,z_plus,0.001,500,0.0
round_number,1.0,z_plus_renorm,0.05,499,0.0501002004008016
round_number,1.0,z_plus_renorm,0.01,499,0.0040080160320641
round_number,1.0,z_plus_renorm,0.001,499,0.0
round_number,1.0,breadth,0.05,500,0.024
round_number,1.0,breadth,0.01,500,0.0
round_number,1.0,breadth,0.001,500,0.0
round_number,1.0,z_mahalanobis_sq,0.05,500,0.056
round_number,1.0,z_mahalanobis_sq,0.01,500,0.004
round_number,1.0,z_mahalanobis_sq,0.001,500,0.0
round_number,1.0,t_iut,0.05,500,0.07
round_number,1.0,t_iut,0.01,500,0.016
round_number,1.0,t_iut,0.001,500,0.002
round_number,1.0,z_plus_softmax,0.05,499,0.0841683366733467
round_number,1.0,z_plus_softmax,0.01,499,0.0721442885771543
round_number,1.0,z_plus_softmax,0.001,499,0.0721442885771543
round_number,1.0,z_plus_orth,0.05,499,0.0861723446893787
round_number,1.0,z_plus_orth,0.01,499,0.0721442885771543
round_number,1.0,z_plus_orth,0.001,499,0.0721442885771543
round_number,1.5,z_plus,0.05,500,0.128
round_number,1.5,z_plus,0.01,500,0.026
round_number,1.5,z_plus,0.001,500,0.004
round_number,1.5,z_plus_renorm,0.05,499,0.0741482965931863
round_number,1.5,z_plus_renorm,0.01,499,0.0220440881763527
round_number,1.5,z_plus_renorm,0.001,499,0.002004008016032
round_number,1.5,breadth,0.05,500,0.042
round_number,1.5,breadth,0.01,500,0.0
round_number,1.5,breadth,0.001,500,0.0
round_number,1.5,z_mahalanobis_sq,0.05,500,0.07
round_number,1.5,z_mahalanobis_sq,0.01,500,0.02
round_number,1.5,z_mahalanobis_sq,0.001,500,0.002
round_number,1.5,t_iut,0.05,500,0.11
round_number,1.5,t_iut,0.01,500,0.028
round_number,1.5,t_iut,0.001,500,0.008
round_number,1.5,z_plus_softmax,0.05,499,0.0801603206412825
round_number,1.5,z_plus_softmax,0.01,499,0.0741482965931863
round_number,1.5,z_plus_softmax,0.001,499,0.0721442885771543
round_number,1.5,z_plus_orth,0.05,499,0.0801603206412825
round_number,1.5,z_plus_orth,0.01,499,0.0741482965931863
round_number,1.5,z_plus_orth,0.001,499,0.0721442885771543
round_number,2.0,z_plus,0.05,500,0.17
round_number,2.0,z_plus,0.01,500,0.048
round_number,2.0,z_plus,0.001,500,0.012
round_number,2.0,z_plus_renorm,0.05,500,0.094
round_number,2.0,z_plus_renorm,0.01,500,0.012
round_number,2.0,z_plus_renorm,0.001,500,0.002
round_number,2.0,breadth,0.05,500,0.032
round_number,2.0,breadth,0.01,500,0.0
round_number,2.0,breadth,0.001,500,0.0
round_number,2.0,z_mahalanobis_sq,0.05,500,0.116
round_number,2.0,z_mahalanobis_sq,0.01,500,0.028
round_number,2.0,z_mahalanobis_sq,0.001,500,0.006
round_number,2.0,t_iut,0.05,500,0.102
round_number,2.0,t_iut,0.01,500,0.026
round_number,2.0,t_iut,0.001,500,0.002
round_number,2.0,z_plus_softmax,0.05,500,0.114
round_number,2.0,z_plus_softmax,0.01,500,0.106
round_number,2.0,z_plus_softmax,0.001,500,0.106
round_number,2.0,z_plus_orth,0.05,500,0.11
round_number,2.0,z_plus_orth,0.01,500,0.106
round_number,2.0,z_plus_orth,0.001,500,0.106
round_number,3.0,z_plus,0.05,500,0.302
round_number,3.0,z_plus,0.01,500,0.112
round_number,3.0,z_plus,0.001,500,0.036
round_number,3.0,z_plus_renorm,0.05,500,0.194
round_number,3.0,z_plus_renorm,0.01,500,0.04
round_number,3.0,z_plus_renorm,0.001,500,0.002
round_number,3.0,breadth,0.05,500,0.042
round_number,3.0,breadth,0.01,500,0.0
round_number,3.0,breadth,0.001,500,0.0
round_number,3.0,z_mahalanobis_sq,0.05,500,0.152
round_number,3.0,z_mahalanobis_sq,0.01,500,0.062
round_number,3.0,z_mahalanobis_sq,0.001,500,0.004
round_number,3.0,t_iut,0.05,500,0.106
round_number,3.0,t_iut,0.01,500,0.042
round_number,3.0,t_iut,0.001,500,0.018
round_number,3.0,z_plus_softmax,0.05,500,0.152
round_number,3.0,z_plus_softmax,0.01,500,0.152
round_number,3.0,z_plus_softmax,0.001,500,0.152
round_number,3.0,z_plus_orth,0.05,500,0.152
round_number,3.0,z_plus_orth,0.01,500,0.152
round_number,3.0,z_plus_orth,0.001,500,0.152
