gvkey,n_quarters,z_plus_lag1,z_plus_renorm_lag1,breadth_lag1,z_mahalanobis_sq_lag1,t_iut_lag1,z_plus_softmax_lag1,z_plus_orth_lag1
10,102,0.4993092703666986,0.4116536776597649,0.3722915489016045,0.7803108291564571,0.747325045738342,0.534385321215878,0.530663924890607
11,106,0.3149489475187356,0.0679470856407213,0.4474412600661702,0.2925147016054212,0.8696757325842469,0.1262713426392035,0.1338652662359005
12,102,0.6806234962929445,0.7395078283223938,0.4503025062017057,0.8842085084518001,0.6872808023911552,0.7623395423623844,0.7673076850079825
13,106,0.1404870797511065,0.0973814628070526,0.1414364640883977,0.276157779765418,0.8591307621931933,0.17580710387328,0.1787542108465446
102,90,0.7359534041964363,0.4926509014512997,0.598031694560058,0.7775430078953265,0.9435166392751458,0.3447077622316469,0.3042364895966576
103,76,0.3584798243919401,0.5558424126785818,0.2448180295634706,0.1374814705858731,0.3504837654029644,0.5426136510045795,0.534040938263875
108,94,0.6595823507223951,0.6994459922325637,0.4688702202165141,0.5365910559190619,0.6362754837887166,0.7676266160740505,0.768199940371278
113,38,0.8444490474545296,0.8211150320054362,0.580791406502882,,0.7147970809816121,0.8905132026028272,0.8914251238338845
114,94,0.4847443830286679,0.7144021436851873,0.4344284015517901,0.3660258241222383,0.8106279822897146,0.5034416649118664,0.5030894328724316
115,106,0.5914485558105402,0.3435581267064519,0.5345358230878868,0.5483218595993473,0.4277018790319599,0.6225133337240714,0.6669189822525052
117,18,0.144816338455493,0.0675148706904104,0.577524406164482,,0.7539127085376368,-0.0308785330688999,-0.0182358001601443
119,102,0.435213660568166,0.411153927873747,0.5032433664524832,0.0962346906519443,0.9120215757394412,0.3421621654822568,0.338438056173181
120,88,0.4923492032141713,0.2852978468352953,0.4823146067865445,-0.0078023644323163,0.8181695954734397,0.4091547212355981,0.4159208037113739
121,104,0.5699696847816522,0.3256361020176693,0.5668957689794142,,0.9527876228953714,0.5091097156858156,0.5173632737495688
122,104,0.5547559174031248,0.479548601005732,0.6480559256651581,,0.9502508835029824,0.434689978223485,0.4315451601462716
123,104,0.6199905769935294,0.3714077529163706,0.7588183625291017,0.3078003706249944,0.925717247896342,0.4718804509151992,0.4774375942799387
124,87,0.3345933665555795,0.0815425782162238,0.5069006235097746,0.1483925706252181,1.0,0.1151568785982762,0.1128197440706602
138,102,0.4295662788862491,0.1695641754912604,0.4657922249422136,0.3079559401044835,0.8443098806320463,0.2480828082245635,0.2492194851236852
139,102,0.589165837826449,0.3727335325323191,0.5215918289318718,0.8900907719641521,0.7163843285434643,0.4768829886977125,0.5543937483914764
140,102,0.7307329223752079,0.5323412356899331,0.6688306403775242,0.7384685668344843,0.7438608542549056,0.5887786308388626,0.626300581467433
141,102,0.7108342185166796,0.545203809509732,0.6693253554726994,0.7309294482496866,0.9579085306186088,0.4216084205080645,0.4078670365301256
142,102,0.6480006378095299,0.6589808635593111,0.7116994732783023,0.560117356163114,0.9389092999989732,0.4884405568531625,0.4874710472019032
143,102,0.7853815837413614,0.5829571636074801,0.7231096086509434,0.8898974470572364,0.8794875599774178,0.3827465979854358,0.3738738475138569
145,102,0.404263046456115,0.404873237256943,0.5711333291938425,0.6158480881342979,0.8451791091290456,0.3871187893906305,0.3899583602449338
146,38,0.5930586743276623,0.7618302620758346,0.6695587280413067,,0.9160378574968668,0.8331262064013267,0.832036744724755
148,102,0.6955601036725417,0.5821263815944545,0.5132800266127832,,0.800114697864192,0.8029572098364581,0.8005329043074209
149,100,0.5891953469521264,0.5611102013665258,0.6378971486117792,0.913641452062571,0.8413549847396533,0.4712602354818708,0.6889827159968226
152,102,0.6180028498179065,0.5943288379608812,0.366904843249719,0.7869584220811682,0.8241658897156151,0.5963241238534778,0.6019141194566795
