composite,n_strict_rows,jaccard_top_n,share_of_full_top_n_in_strict,top_n
z_plus,45625,0.639344262295082,0.78,100
z_plus_renorm,44759,0.6129032258064516,0.76,100
breadth,45625,0.7699115044247787,0.87,100
z_mahalanobis_sq,29747,0.639344262295082,0.78,100
t_iut,45625,0.9047619047619048,0.95,100
z_plus_softmax,44759,0.5873015873015873,0.74,100
z_plus_orth,44759,0.6129032258064516,0.76,100
