archetype,delta,composite,alpha,n_finite,detection_rate
threshold_clustering,3.0,t_iut,0.05,500,0.148
threshold_clustering,3.0,t_iut,0.01,500,0.032
threshold_clustering,3.0,t_iut,0.001,500,0.026
threshold_clustering,3.0,z_plus_softmax,0.05,500,0.024
threshold_clustering,3.0,z_plus_softmax,0.01,500,0.024
threshold_clustering,3.0,z_plus_softmax,0.001,500,0.024
threshold_clustering,3.0,z_plus_orth,0.05,500,0.024
threshold_clustering,3.0,z_plus_orth,0.01,500,0.024
threshold_clustering,3.0,z_plus_orth,0.001,500,0.024
round_number,0.5,z_plus,0.05,500,0.126
round_number,0.5,z_plus,0.01,500,0.026
round_number,0.5,z_plus,0.001,500,0.026
round_number,0.5,z_plus_renorm,0.05,500,0.054
round_number,0.5,z_plus_renorm,0.01,500,0.032
round_number,0.5,z_plus_renorm,0.001,500,0.032
round_number,0.5,breadth,0.05,500,0.048
round_number,0.5,breadth,0.01,500,0.0
round_number,0.5,breadth,0.001,500,0.0
round_number,0.5,z_mahalanobis_sq,0.05,500,0.062
round_number,0.5,z_mahalanobis_sq,0.01,500,0.01
round_number,0.5,z_mahalanobis_sq,0.001,500,0.008
round_number,0.5,t_iut,0.05,500,0.076
round_number,0.5,t_iut,0.01,500,0.018
round_number,0.5,t_iut,0.001,500,0.006
round_number,0.5,z_plus_softmax,0.05,500,0.16
round_number,0.5,z_plus_softmax,0.01,500,0.16
round_number,0.5,z_plus_softmax,0.001,500,0.16
round_number,0.5,z_plus_orth,0.05,500,0.166
round_number,0.5,z_plus_orth,0.01,500,0.16
round_number,0.5,z_plus_orth,0.001,500,0.16
round_number,1.0,z_plus,0.05,500,0.13
round_number,1.0,z_plus,0.01,500,0.02
round_number,1.0,z_plus,0.001,500,0.01
round_number,1.0,z_plus_renorm,0.05,500,0.06
round_number,1.0,z_plus_renorm,0.01,500,0.04
round_number,1.0,z_plus_renorm,0.001,500,0.038
round_number,1.0,breadth,0.05,500,0.024
round_number,1.0,breadth,0.01,500,0.0
round_number,1.0,breadth,0.001,500,0.0
round_number,1.0,z_mahalanobis_sq,0.05,500,0.064
