archetype,delta,detector,alpha,n_finite,flag_rate
threshold_clustering,0.5,z6,0.001,500,0.148
threshold_clustering,0.5,z8,0.05,500,0.062
threshold_clustering,0.5,z8,0.01,500,0.01
threshold_clustering,0.5,z8,0.001,500,0.002
threshold_clustering,0.5,z57,0.05,500,0.108
threshold_clustering,0.5,z57,0.01,500,0.024
threshold_clustering,0.5,z57,0.001,500,0.004
threshold_clustering,1.0,z1,0.05,500,0.12
threshold_clustering,1.0,z1,0.01,500,0.12
threshold_clustering,1.0,z1,0.001,500,0.12
threshold_clustering,1.0,z2,0.05,500,0.192
threshold_clustering,1.0,z2,0.01,500,0.096
threshold_clustering,1.0,z2,0.001,500,0.04
threshold_clustering,1.0,z3,0.05,500,0.042
threshold_clustering,1.0,z3,0.01,500,0.0
threshold_clustering,1.0,z3,0.001,500,0.0
threshold_clustering,1.0,z4,0.05,500,0.282
threshold_clustering,1.0,z4,0.01,500,0.032
threshold_clustering,1.0,z4,0.001,500,0.024
threshold_clustering,1.0,z6,0.05,500,0.252
threshold_clustering,1.0,z6,0.01,500,0.194
threshold_clustering,1.0,z6,0.001,500,0.14
threshold_clustering,1.0,z8,0.05,500,0.05
threshold_clustering,1.0,z8,0.01,500,0.02
threshold_clustering,1.0,z8,0.001,500,0.008
threshold_clustering,1.0,z57,0.05,500,0.248
threshold_clustering,1.0,z57,0.01,500,0.104
threshold_clustering,1.0,z57,0.001,500,0.012
threshold_clustering,1.5,z1,0.05,500,0.136
threshold_clustering,1.5,z1,0.01,500,0.136
threshold_clustering,1.5,z1,0.001,500,0.136
threshold_clustering,1.5,z2,0.05,500,0.198
threshold_clustering,1.5,z2,0.01,500,0.104
threshold_clustering,1.5,z2,0.001,500,0.056
threshold_clustering,1.5,z3,0.05,500,0.016
threshold_clustering,1.5,z3,0.01,500,0.0
threshold_clustering,1.5,z3,0.001,500,0.0
threshold_clustering,1.5,z4,0.05,500,0.406
threshold_clustering,1.5,z4,0.01,500,0.208
threshold_clustering,1.5,z4,0.001,500,0.028
threshold_clustering,1.5,z6,0.05,500,0.198
threshold_clustering,1.5,z6,0.01,500,0.16
threshold_clustering,1.5,z6,0.001,500,0.114
threshold_clustering,1.5,z8,0.05,500,0.03
